"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 27 08:12:57 GMT 2025","Wed Aug 27 08:12:57 GMT 2025","29","","pl.allegro.tech.hermes.consumers.supervisor.workload.weighted.ZookeeperConsumerNodeLoadRegistryTest","","pl.allegro.tech.hermes.consumers.supervisor.workload.weighted.ZookeeperConsumerNodeLoadRegistryTest","shouldPeriodicallyReportConsumerLoad","shouldPeriodicallyReportConsumerLoad",""
"passed","Wed Aug 27 08:12:31 GMT 2025","Wed Aug 27 08:12:31 GMT 2025","6","","WeightedWorkBalancerTest","","pl.allegro.tech.hermes.consumers.supervisor.workload.weighted.WeightedWorkBalancerTest","should handle weight equal to 0","should handle weight equal to 0",""
"passed","Wed Aug 27 08:16:12 GMT 2025","Wed Aug 27 08:16:13 GMT 2025","989","","pl.allegro.tech.hermes.integrationtests.PublishingAndConsumingTest","","pl.allegro.tech.hermes.integrationtests.PublishingAndConsumingTest","shouldPassSubscriptionFixedHeaders","shouldPassSubscriptionFixedHeaders()",""
"passed","Wed Aug 27 08:12:30 GMT 2025","Wed Aug 27 08:12:30 GMT 2025","64","","ConsumerProcessSupervisorTest","","pl.allegro.tech.hermes.consumers.supervisor.process.ConsumerProcessSupervisorTest","should stop consumer process when subscription delivery type is changed [existingDeliveryType: BATCH, newDeliveryType: SERIAL, #1]","should stop consumer process when subscription delivery type is changed [existingDeliveryType: BATCH, newDeliveryType: SERIAL, #1]",""
"passed","Wed Aug 27 08:14:50 GMT 2025","Wed Aug 27 08:14:50 GMT 2025","18","","InactiveTopicTest","","pl.allegro.tech.hermes.management.domain.detection.InactiveTopicTest","should update notification timestamps","should update notification timestamps",""
"passed","Wed Aug 27 08:09:41 GMT 2025","Wed Aug 27 08:09:41 GMT 2025","165","GroupListing","","","","","should render group listing with no filter applied",""
"passed","Wed Aug 27 08:16:45 GMT 2025","Wed Aug 27 08:16:45 GMT 2025","245","","pl.allegro.tech.hermes.integrationtests.PublishingTest","","pl.allegro.tech.hermes.integrationtests.PublishingTest","shouldReturn4xxForTooLargeContent","shouldReturn4xxForTooLargeContent()",""
"passed","Wed Aug 27 08:08:58 GMT 2025","Wed Aug 27 08:08:58 GMT 2025","125","PropertiesCard","","","","","should render subscription mode (ANYCAST)",""
"passed","Wed Aug 27 08:14:36 GMT 2025","Wed Aug 27 08:14:54 GMT 2025","17795","","pl.allegro.tech.hermes.integrationtests.KafkaRetransmissionServiceTest","","pl.allegro.tech.hermes.integrationtests.KafkaRetransmissionServiceTest","shouldMoveOffsetNearGivenTimestamp","shouldMoveOffsetNearGivenTimestamp(boolean) [2] true",""
"passed","Wed Aug 27 08:14:11 GMT 2025","Wed Aug 27 08:14:11 GMT 2025","1","","MessageStateTest","","pl.allegro.tech.hermes.frontend.publishing.message.MessageStateTest","should set 'sent to kafka' state from 'sending to kafka' state","should set 'sent to kafka' state from 'sending to kafka' state",""
"passed","Wed Aug 27 08:15:33 GMT 2025","Wed Aug 27 08:15:33 GMT 2025","4","","ContentTypeValidatorSpec","","pl.allegro.tech.hermes.management.domain.topic.validator.ContentTypeValidatorSpec","content type AVRO in whitelist [AVRO] should be valid","content type AVRO in whitelist [AVRO] should be valid",""
