"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 13 09:06:10 GMT 2025","Fri Jun 13 09:06:10 GMT 2025","6","","GooglePubSubMessageTransformerCreatorTest","","pl.allegro.tech.hermes.consumers.consumer.sender.googlepubsub.GooglePubSubMessageTransformerCreatorTest","should create message transformer according to Hermes and subscription settings [codec: BZIP2, compressionEnabled: true, shouldCompress: true, #0]","should create message transformer according to Hermes and subscription settings [codec: BZIP2, compressionEnabled: true, shouldCompress: true, #0]",""
"passed","Fri Jun 13 09:06:16 GMT 2025","Fri Jun 13 09:06:16 GMT 2025","3","","SignalsFilterTest","","pl.allegro.tech.hermes.consumers.supervisor.process.SignalsFilterTest","should remove signals that should be executed later and put them back on task queue","should remove signals that should be executed later and put them back on task queue",""
"passed","Fri Jun 13 09:09:25 GMT 2025","Fri Jun 13 09:09:26 GMT 2025","1305","","pl.allegro.tech.hermes.integrationtests.PublishingAvroTest","","pl.allegro.tech.hermes.integrationtests.PublishingAvroTest","shouldPublishAvroAndConsumeAvroMessage","shouldPublishAvroAndConsumeAvroMessage()",""
"passed","Fri Jun 13 09:12:49 GMT 2025","Fri Jun 13 09:12:49 GMT 2025","232","","pl.allegro.tech.hermes.integrationtests.management.TopicManagementTest","","pl.allegro.tech.hermes.integrationtests.management.TopicManagementTest","shouldEmitAuditEventBeforeUpdateWhenWrongPatchDataKeyProvided","shouldEmitAuditEventBeforeUpdateWhenWrongPatchDataKeyProvided()",""
"passed","Fri Jun 13 09:12:01 GMT 2025","Fri Jun 13 09:12:01 GMT 2025","250","","pl.allegro.tech.hermes.integrationtests.management.QueryEndpointTest","","pl.allegro.tech.hermes.integrationtests.management.QueryEndpointTest","shouldReturnGroupsWithNameContainingString","shouldReturnGroupsWithNameContainingString()",""
"passed","Fri Jun 13 09:05:19 GMT 2025","Fri Jun 13 09:05:19 GMT 2025","13","","EndpointAddressTest","","pl.allegro.tech.hermes.api.EndpointAddressTest","should return decomposed parts of URI when matching URI pattern","should return decomposed parts of URI when matching URI pattern",""
"passed","Fri Jun 13 09:12:17 GMT 2025","Fri Jun 13 09:12:18 GMT 2025","967","","pl.allegro.tech.hermes.integrationtests.management.SubscriptionManagementTest","","pl.allegro.tech.hermes.integrationtests.management.SubscriptionManagementTest","shouldNotRemoveSubscriptionAfterItsRecreation","shouldNotRemoveSubscriptionAfterItsRecreation()",""
"passed","Fri Jun 13 09:02:56 GMT 2025","Fri Jun 13 09:02:56 GMT 2025","79","PropertiesList","","","","","should render topic property { topic: { schema: '{""type"":""record"",""name"":""DummyEvent"",""namespace"":""pl.allegro.public.group.DummyEvent"",""doc"":""Event emitted when notification is sent to a user"",""fields"":[{""name"":""__metadata"",""type"":[""null"",{""type"":""map"",""values"":""string""}],""doc"":""Field internally used by Hermes to propagate metadata."",""default"":null},{""name"":""waybillId"",""type"":[""null"",{""type"":""record"",""name"":""WaybillId"",""fields"":[{""name"":""waybill"",""type"":""string"",""doc"":""Waybill""},{""name"":""carrierId"",""type"":""string"",""doc"":""CarrierId""}]}],""doc"":""WaybillId"",""default"":null},{""name"":""notificationId"",""type"":""string"",""doc"":""Notification Id""},{""name"":""userId"",""type"":""string"",""doc"":""User Id""}]}', name: 'pl.allegro.public.group.DummyEvent', description: 'Events emitted when notification is sent to a user.', owner: { source: 'Service Catalog', id: '41' }, retentionTime: { duration: 1, retentionUnit: 'DAYS' }, jsonToAvroDryRun: false, ack: 'LEADER', trackingEnabled: false, migratedFromJsonType: false, fallbackToRemoteDatacenterEnabled: true, schemaIdAwareSerializationEnabled: false, contentType: 'AVRO', maxMessageSize: 10240, auth: { publishers: [], enabled: false, unauthenticatedAccessEnabled: true }, subscribingRestricted: false, offlineStorage: { enabled: true, retentionTime: { duration: 60, infinite: false } }, labels: [ { value: 'internal' }, { value: 'analytics' } ], createdAt: 1634916242.877, modifiedAt: 1636451113.517 }, property: 'topicView.properties.offlineRetention', value: '60 days' }",""
"passed","Fri Jun 13 09:02:37 GMT 2025","Fri Jun 13 09:02:37 GMT 2025","67","useSubscription","","","","","should show message that skipping all messages was successful",""
"passed","Fri Jun 13 09:02:45 GMT 2025","Fri Jun 13 09:02:45 GMT 2025","40","useConstraints","","","","","should dispatch notification on successful subscription constraint upsert",""
