"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 08 15:34:35 GMT 2025","Wed Jan 08 15:34:35 GMT 2025","122","SearchView","","","","","should show error message when fetching search results failed",""
"passed","Wed Jan 08 15:35:02 GMT 2025","Wed Jan 08 15:35:02 GMT 2025","0","Json utils","","","","","isJsonValid() - return true when string is valid json object",""
"passed","Wed Jan 08 15:36:03 GMT 2025","Wed Jan 08 15:36:03 GMT 2025","4","","AvroPathMessageFilterSpec","","pl.allegro.tech.hermes.domain.filtering.AvroPathMessageFilterSpec","basic paths [path: .topping.type, matcher: ^Map.*, result: true, #8]","basic paths [path: .topping.type, matcher: ^Map.*, result: true, #8]",""
"broken","Wed Jan 08 15:46:48 GMT 2025","Wed Jan 08 15:46:58 GMT 2025","10351","","pl.allegro.tech.hermes.integrationtests.OAuthIntegrationTest","","pl.allegro.tech.hermes.integrationtests.OAuthIntegrationTest","shouldRequestNewTokenIfPreviousIsInvalidForUsernamePasswordGrantOAuthSecuredEndpoint","shouldRequestNewTokenIfPreviousIsInvalidForUsernamePasswordGrantOAuthSecuredEndpoint()",""
"passed","Wed Jan 08 15:39:34 GMT 2025","Wed Jan 08 15:39:34 GMT 2025","346","MultiZookeeperIntegrationTest","ScheduleConsumerGroupToDeleteCommandTest","","pl.allegro.tech.hermes.management.domain.subscription.consumergroup.command.ScheduleConsumerGroupToDeleteCommandTest","Should ignore scheduling consumer group to delete if it is already scheduled","Should ignore scheduling consumer group to delete if it is already scheduled",""
"passed","Wed Jan 08 15:38:50 GMT 2025","Wed Jan 08 15:38:51 GMT 2025","387","MultiZookeeperIntegrationTest","StorageSyncSpec","","pl.allegro.tech.hermes.management.domain.consistency.StorageSyncSpec","should delete subscription in all DCs if primary datacenter does not contain subscription","should delete subscription in all DCs if primary datacenter does not contain subscription",""
"passed","Wed Jan 08 15:34:24 GMT 2025","Wed Jan 08 15:34:24 GMT 2025","29","useConstraints","","","","","should dispatch notification on unsuccessful topic constraint upsert",""
"passed","Wed Jan 08 15:38:31 GMT 2025","Wed Jan 08 15:38:40 GMT 2025","9570","","pl.allegro.tech.hermes.integrationtests.KafkaReadinessCheckTest","","pl.allegro.tech.hermes.integrationtests.KafkaReadinessCheckTest","shouldNotBeReadyUntilKafkaClusterIsUp","shouldNotBeReadyUntilKafkaClusterIsUp()",""
"passed","Wed Jan 08 15:41:33 GMT 2025","Wed Jan 08 15:41:33 GMT 2025","11","","HermesMockTest","","pl.allegro.tech.hermes.mock.HermesMockTest","should not reset received requests with JSON messages when predicate does not match","should not reset received requests with JSON messages when predicate does not match",""
"passed","Wed Jan 08 15:39:35 GMT 2025","Wed Jan 08 15:39:35 GMT 2025","5","","TopicValidatorTest","","pl.allegro.tech.hermes.management.domain.topic.validator.TopicValidatorTest","topic changing content type from json to avro when avro schema not available should be invalid","topic changing content type from json to avro when avro schema not available should be invalid",""
"passed","Wed Jan 08 15:41:03 GMT 2025","Wed Jan 08 15:41:03 GMT 2025","2","","JsonQueryParserTest","","pl.allegro.tech.hermes.management.infrastructure.query.parser.json.JsonQueryParserTest","should fail to parse or query","should fail to parse or query",""
"passed","Wed Jan 08 15:41:41 GMT 2025","Wed Jan 08 15:41:41 GMT 2025","5","","SchemaRegistryRawSchemaClientTest","","pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClientTest","should throw exception for incompatible schema [client: <pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClient@7504b290 schemaRepositoryInstanceResolver=pl.allegro.tech.hermes.schema.resolver.DefaultSchemaRepositoryInstanceResolver@32b03ec1 objectMapper=com.fasterxml.jackson.databind.ObjectMapper@2522b8ff validationEndpointEnabled=false deleteSchemaPathSuffix=versions subjectNamingStrategy=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007f82e446dc88@a52aba0>, subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007f82e446dc88@a52aba0 arg$1=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007f82e446da58@2aacf54b>, #1]","should throw exception for incompatible schema [client: <pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClient@7504b290 schemaRepositoryInstanceResolver=pl.allegro.tech.hermes.schema.resolver.DefaultSchemaRepositoryInstanceResolver@32b03ec1 objectMapper=com.fasterxml.jackson.databind.ObjectMapper@2522b8ff validationEndpointEnabled=false deleteSchemaPathSuffix=versions subjectNamingStrategy=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007f82e446dc88@a52aba0>, subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007f82e446dc88@a52aba0 arg$1=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007f82e446da58@2aacf54b>, #1]",""
"passed","Wed Jan 08 15:36:14 GMT 2025","Wed Jan 08 15:36:14 GMT 2025","0","","pl.allegro.tech.hermes.common.metric.counter.MetricsDeltaCalculatorTest","","pl.allegro.tech.hermes.common.metric.counter.MetricsDeltaCalculatorTest","shouldReturnDeltaBetweenCurrentAndPreviousState","shouldReturnDeltaBetweenCurrentAndPreviousState",""
"passed","Wed Jan 08 15:36:31 GMT 2025","Wed Jan 08 15:36:31 GMT 2025","1","","Http2HermesHeadersProviderTest","","pl.allegro.tech.hermes.consumers.consumer.sender.http.headers.Http2HermesHeadersProviderTest","should contain #header header with correct value for http1","should contain #header header with correct value for http1",""
"passed","Wed Jan 08 15:34:32 GMT 2025","Wed Jan 08 15:34:32 GMT 2025","71","SubscriptionsList","","","","","should not render copy clients button when there are no subscriptions",""
"passed","Wed Jan 08 15:36:25 GMT 2025","Wed Jan 08 15:36:25 GMT 2025","10","","MaxRateBalancerTest","","pl.allegro.tech.hermes.consumers.consumer.rate.maxrate.MaxRateBalancerTest","should not change max rates if no busy consumer","should not change max rates if no busy consumer",""
"broken","Wed Jan 08 15:42:05 GMT 2025","Wed Jan 08 15:42:16 GMT 2025","11040","","pl.allegro.tech.hermes.integrationtests.FilteringJsonTest","","pl.allegro.tech.hermes.integrationtests.FilteringJsonTest","shouldChainFilters","shouldChainFilters()",""
"passed","Wed Jan 08 15:39:36 GMT 2025","Wed Jan 08 15:39:36 GMT 2025","15","","TopicValidatorWithRealApiPreconditionsTest","","pl.allegro.tech.hermes.management.domain.topic.validator.TopicValidatorWithRealApiPreconditionsTest","updating topic with up to 7 days of retention time should be valid [retentionTime: <pl.allegro.tech.hermes.api.RetentionTime@67 duration=72 retentionUnit=HOURS>, user: <pl.allegro.tech.hermes.management.domain.auth.TestRequestUser@663a2b13 username=regularUser admin=false isOwner=false>, #7]","updating topic with up to 7 days of retention time should be valid [retentionTime: <pl.allegro.tech.hermes.api.RetentionTime@67 duration=72 retentionUnit=HOURS>, user: <pl.allegro.tech.hermes.management.domain.auth.TestRequestUser@663a2b13 username=regularUser admin=false isOwner=false>, #7]",""
"passed","Wed Jan 08 15:34:58 GMT 2025","Wed Jan 08 15:34:58 GMT 2025","37","useCreateTopic","","","","","should return initialized form",""
"passed","Wed Jan 08 15:36:14 GMT 2025","Wed Jan 08 15:36:14 GMT 2025","2","","pl.allegro.tech.hermes.common.message.wrapper.MessageContentWrapperTest","","pl.allegro.tech.hermes.common.message.wrapper.MessageContentWrapperTest","shouldUnwrapMessageUsingSchemaIdFromPayload","shouldUnwrapMessageUsingSchemaIdFromPayload",""
"passed","Wed Jan 08 15:39:35 GMT 2025","Wed Jan 08 15:39:35 GMT 2025","2","","InflightSizeValidatorTest","","pl.allegro.tech.hermes.management.domain.subscription.validator.InflightSizeValidatorTest","changing inflight should not be allowed for users [previousInflight: 60, updatedInflight: 120, message: Inflight size can't be changed by non admin users. Changed from: 60, to: 120, #2]","changing inflight should not be allowed for users [previousInflight: 60, updatedInflight: 120, message: Inflight size can't be changed by non admin users. Changed from: 60, to: 120, #2]",""
