"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","should show message that switching readiness subscription was unsuccessful","useReadiness","Mon Apr 27 10:20:41 UTC 2026","passed","Mon Apr 27 10:20:41 UTC 2026","","","",""
"","7","should throw exception when not able to fetch schema versions [client: <pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClient@66c8c875 schemaRepositoryInstanceResolver=inaccessible objectMapper=inaccessible validationEndpointEnabled=inaccessible deleteSchemaPathSuffix=inaccessible subjectNamingStrategy=inaccessible>, subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x0000000060477008@1ea482b4>, #0]","","Mon Apr 27 10:26:59 UTC 2026","passed","Mon Apr 27 10:26:59 UTC 2026","","SchemaRegistryRawSchemaClientTest","pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClientTest","should throw exception when not able to fetch schema versions [client: <pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClient@66c8c875 schemaRepositoryInstanceResolver=inaccessible objectMapper=inaccessible validationEndpointEnabled=inaccessible deleteSchemaPathSuffix=inaccessible subjectNamingStrategy=inaccessible>, subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x0000000060477008@1ea482b4>, #0]"
"","97","should emit update:modelValue on close","SearchCommander","Mon Apr 27 10:20:02 UTC 2026","passed","Mon Apr 27 10:20:02 UTC 2026","","","",""
"","7","should parse query with ne operator and match multiple results","","Mon Apr 27 10:26:22 UTC 2026","passed","Mon Apr 27 10:26:22 UTC 2026","","JsonQueryParserTest","pl.allegro.tech.hermes.management.infrastructure.query.parser.json.JsonQueryParserTest","should parse query with ne operator and match multiple results"
"","38","should dispatch notification about topic edit request error","useEditTopic","Mon Apr 27 10:20:53 UTC 2026","passed","Mon Apr 27 10:20:54 UTC 2026","","","",""
"","4","should throw exception when not able to fetch schema version [client: <pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClient@2ffe548c schemaRepositoryInstanceResolver=inaccessible objectMapper=inaccessible validationEndpointEnabled=inaccessible deleteSchemaPathSuffix=inaccessible subjectNamingStrategy=inaccessible>, subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x0000000060477250@5c48981a arg$1=inaccessible>, #1]","","Mon Apr 27 10:26:58 UTC 2026","passed","Mon Apr 27 10:26:58 UTC 2026","","SchemaRegistryRawSchemaClientTest","pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClientTest","should throw exception when not able to fetch schema version [client: <pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClient@2ffe548c schemaRepositoryInstanceResolver=inaccessible objectMapper=inaccessible validationEndpointEnabled=inaccessible deleteSchemaPathSuffix=inaccessible subjectNamingStrategy=inaccessible>, subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x0000000060477250@5c48981a arg$1=inaccessible>, #1]"
"","1","should filter '$.type' matching 'not_donut' with result: false","","Mon Apr 27 10:22:09 UTC 2026","passed","Mon Apr 27 10:22:09 UTC 2026","","JsonPathMessageFilterSpec","pl.allegro.tech.hermes.domain.filtering.JsonPathMessageFilterSpec","should filter '$.type' matching 'not_donut' with result: false"
"","9","should return default value if not present","","Mon Apr 27 10:21:45 UTC 2026","passed","Mon Apr 27 10:21:45 UTC 2026","","EndpointAddressResolverMetadataTest","pl.allegro.tech.hermes.api.EndpointAddressResolverMetadataTest","should return default value if not present"
"","168","should call search if query is long enough","SearchCommander","Mon Apr 27 10:20:01 UTC 2026","passed","Mon Apr 27 10:20:01 UTC 2026","","","",""
"","3","should reset token request rate on success","","Mon Apr 27 10:22:31 UTC 2026","passed","Mon Apr 27 10:22:31 UTC 2026","","OAuthSubscriptionHandlerTest","pl.allegro.tech.hermes.consumers.consumer.oauth.OAuthSubscriptionHandlerTest","should reset token request rate on success"
