"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 06 13:54:10 GMT 2025","Mon Oct 06 13:54:11 GMT 2025","1044","","pl.allegro.tech.hermes.integrationtests.BatchRetryPolicyTest","","pl.allegro.tech.hermes.integrationtests.BatchRetryPolicyTest","shouldNotRetryIfRequestSuccessful","shouldNotRetryIfRequestSuccessful()",""
"passed","Mon Oct 06 13:55:10 GMT 2025","Mon Oct 06 13:55:10 GMT 2025","2","","JsonToAvroMigrationKafkaNamesMapperTest","","pl.allegro.tech.hermes.common.kafka.JsonToAvroMigrationKafkaNamesMapperTest","should map topic 'group.topic' to kafka topic 'group.topic' for namespace ''","should map topic 'group.topic' to kafka topic 'group.topic' for namespace ''",""
"passed","Mon Oct 06 13:55:03 GMT 2025","Mon Oct 06 13:55:03 GMT 2025","12","","HermesSenderTest","","pl.allegro.tech.hermes.client.HermesSenderTest","should read header Hermes-Message-Id being case insensitive when publishing using WebClientSender sender","should read header Hermes-Message-Id being case insensitive when publishing using WebClientSender sender",""
"passed","Mon Oct 06 13:54:51 GMT 2025","Mon Oct 06 13:54:52 GMT 2025","163","PropertiesCard","","","","","should render subscription delivery type (BATCH)",""
"passed","Mon Oct 06 13:57:39 GMT 2025","Mon Oct 06 13:57:39 GMT 2025","251","","pl.allegro.tech.hermes.integrationtests.PublishingAvroTest","","pl.allegro.tech.hermes.integrationtests.PublishingAvroTest","shouldIgnoreValidationDryRunSettingForAvroTopic","shouldIgnoreValidationDryRunSettingForAvroTopic()",""
"passed","Mon Oct 06 13:57:57 GMT 2025","Mon Oct 06 13:57:57 GMT 2025","86","","DcConsistencyServiceSpec","","pl.allegro.tech.hermes.management.domain.consistency.DcConsistencyServiceSpec","should return groups with inconsistent metadata","should return groups with inconsistent metadata",""
"passed","Mon Oct 06 13:55:04 GMT 2025","Mon Oct 06 13:55:04 GMT 2025","79","GroupTopicsView","","","","","should hide loading spinner when data fetch is complete",""
"passed","Mon Oct 06 13:55:14 GMT 2025","Mon Oct 06 13:55:14 GMT 2025","2","","AvroPathMessageFilterSpec","","pl.allegro.tech.hermes.domain.filtering.AvroPathMessageFilterSpec","array paths [path: .title.aliases[5], matcher: some title, matchingStrategy: any, result: false, #35]","array paths [path: .title.aliases[5], matcher: some title, matchingStrategy: any, result: false, #35]",""
"passed","Mon Oct 06 13:57:29 GMT 2025","Mon Oct 06 13:57:33 GMT 2025","3746","","pl.allegro.tech.hermes.integrationtests.PublishingAvroTest","","pl.allegro.tech.hermes.integrationtests.PublishingAvroTest","shouldUpdateSchemaAndUseItImmediately","shouldUpdateSchemaAndUseItImmediately()",""
"passed","Mon Oct 06 14:00:06 GMT 2025","Mon Oct 06 14:00:06 GMT 2025","4","","JsonQueryParserTest","","pl.allegro.tech.hermes.management.infrastructure.query.parser.json.JsonQueryParserTest","should parse query and not match any object","should parse query and not match any object",""
"passed","Mon Oct 06 13:54:57 GMT 2025","Mon Oct 06 13:54:57 GMT 2025","249","TopicView","","","","","should render tracking card when tracking is enabled",""
"passed","Mon Oct 06 13:55:20 GMT 2025","Mon Oct 06 13:55:20 GMT 2025","229","IntegrationTest","ZookeeperSubscriptionRepositoryTest","","pl.allegro.tech.hermes.infrastructure.zookeeper.ZookeeperSubscriptionRepositoryTest","should get list of subscriptions based on names list","should get list of subscriptions based on names list",""
"passed","Mon Oct 06 13:55:59 GMT 2025","Mon Oct 06 13:55:59 GMT 2025","1","","pl.allegro.tech.hermes.consumers.supervisor.workload.SubscriptionAssignmentViewTest","","pl.allegro.tech.hermes.consumers.supervisor.workload.SubscriptionAssignmentViewTest","shouldAddNewSubscription","shouldAddNewSubscription",""
"passed","Mon Oct 06 13:55:14 GMT 2025","Mon Oct 06 13:55:14 GMT 2025","2","","AvroPathMessageFilterSpec","","pl.allegro.tech.hermes.domain.filtering.AvroPathMessageFilterSpec","array paths [path: .title.aliases[5], matcher: null, matchingStrategy: any, result: true, #32]","array paths [path: .title.aliases[5], matcher: null, matchingStrategy: any, result: true, #32]",""
"passed","Mon Oct 06 13:55:38 GMT 2025","Mon Oct 06 13:55:38 GMT 2025","148","GroupTopicsListing","","","","","should render group topics listing with a filter applied (no results)",""
