"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 16 10:33:17 GMT 2025","Tue Sep 16 10:33:18 GMT 2025","7","","DirectCompiledSchemaRepositoryTest","","pl.allegro.tech.hermes.schema.DirectCompiledSchemaRepositoryTest","should fail to provide schema if loading schema source failed","should fail to provide schema if loading schema source failed",""
"passed","Tue Sep 16 10:31:57 GMT 2025","Tue Sep 16 10:31:57 GMT 2025","471","","pl.allegro.tech.hermes.integrationtests.PublishingAvroTest","","pl.allegro.tech.hermes.integrationtests.PublishingAvroTest","shouldGetBadRequestForJsonNotMatchingWithAvroSchemaAndAvroContentType","shouldGetBadRequestForJsonNotMatchingWithAvroSchemaAndAvroContentType()",""
"passed","Tue Sep 16 10:33:18 GMT 2025","Tue Sep 16 10:33:18 GMT 2025","3","","SubjectNamingStrategyTest","","pl.allegro.tech.hermes.schema.SubjectNamingStrategyTest","should create proper subject names [subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007f222847e5a8@78762e87>, subject: group.name, #0]","should create proper subject names [subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007f222847e5a8@78762e87>, subject: group.name, #0]",""
"passed","Tue Sep 16 10:26:35 GMT 2025","Tue Sep 16 10:26:35 GMT 2025","123","KeyValueCardItem","","","","","should render component properly",""
"passed","Tue Sep 16 10:26:16 GMT 2025","Tue Sep 16 10:26:16 GMT 2025","48","useSubscriptionFiltersDebug","","","","","should return topic content type when topic content type fetch is successful",""
"passed","Tue Sep 16 10:34:21 GMT 2025","Tue Sep 16 10:34:25 GMT 2025","4032","","pl.allegro.tech.hermes.integrationtests.management.QueryEndpointTest","","pl.allegro.tech.hermes.integrationtests.management.QueryEndpointTest","shouldQuerySubscription","shouldQuerySubscription(String, List) [4] {""query"": {""name"": {""like"": ""subscript.*""}}}, [1, 2, 4]",""
"passed","Tue Sep 16 10:33:51 GMT 2025","Tue Sep 16 10:33:51 GMT 2025","595","","pl.allegro.tech.hermes.integrationtests.management.QueryEndpointTest","","pl.allegro.tech.hermes.integrationtests.management.QueryEndpointTest","shouldReturnTopicsWithNameSuffix","shouldReturnTopicsWithNameSuffix()",""
"passed","Tue Sep 16 10:33:44 GMT 2025","Tue Sep 16 10:33:45 GMT 2025","478","","pl.allegro.tech.hermes.integrationtests.management.OfflineRetransmissionManagementTest","","pl.allegro.tech.hermes.integrationtests.management.OfflineRetransmissionManagementTest","shouldReturnClientErrorWhenRequestingTopicRetransmissionWithTargetTopicStoredOffline","shouldReturnClientErrorWhenRequestingTopicRetransmissionWithTargetTopicStoredOffline()",""
"passed","Tue Sep 16 10:28:46 GMT 2025","Tue Sep 16 10:28:46 GMT 2025","1","","pl.allegro.tech.hermes.consumers.queue.FullDrainMpscQueueTest","","pl.allegro.tech.hermes.consumers.queue.FullDrainMpscQueueTest","shouldDrainEmptyQueue","shouldDrainEmptyQueue",""
"passed","Tue Sep 16 10:26:10 GMT 2025","Tue Sep 16 10:26:10 GMT 2025","26","useGroups","","","","","should dispatch notification on unsuccessful group create",""
"passed","Tue Sep 16 10:27:04 GMT 2025","Tue Sep 16 10:27:04 GMT 2025","77","HomeMenu","","","","","renders properly",""
