"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 04 10:40:53 GMT 2025","Mon Aug 04 10:40:53 GMT 2025","2","","MaxRateBalancerTest","","pl.allegro.tech.hermes.consumers.consumer.rate.maxrate.MaxRateBalancerTest","should not update consumer not reporting history with not busy consumer","should not update consumer not reporting history with not busy consumer",""
"passed","Mon Aug 04 10:37:35 GMT 2025","Mon Aug 04 10:37:35 GMT 2025","116","useSubscription","","","","","should correctly manage the state of retransmission with status code 500",""
"passed","Mon Aug 04 10:45:14 GMT 2025","Mon Aug 04 10:45:14 GMT 2025","176","","KafkaConsumerGroupManagerSpec","","pl.allegro.tech.hermes.management.infrastructure.kafka.service.KafkaConsumerGroupManagerSpec","should override existing consumer group using offsets from the old consumer group","should override existing consumer group using offsets from the old consumer group",""
"passed","Mon Aug 04 10:38:37 GMT 2025","Mon Aug 04 10:38:37 GMT 2025","1","number-formatter","","","","","should format number with thousands separators and fraction part (59454123997.0001)",""
"passed","Mon Aug 04 10:40:31 GMT 2025","Mon Aug 04 10:40:31 GMT 2025","21","","FilterChainSpec","","pl.allegro.tech.hermes.domain.filtering.FilterChainSpec","should apply global filters before subscription specific","should apply global filters before subscription specific",""
"passed","Mon Aug 04 10:41:00 GMT 2025","Mon Aug 04 10:41:01 GMT 2025","106","","ConsumerProcessTest","","pl.allegro.tech.hermes.consumers.supervisor.process.ConsumerProcessTest","should run main loop till stop signal sent","should run main loop till stop signal sent",""
"passed","Mon Aug 04 10:42:42 GMT 2025","Mon Aug 04 10:42:42 GMT 2025","4","","DynamicThroughputLimiterTest","","pl.allegro.tech.hermes.frontend.publishing.DynamicThroughputLimiterTest","should block multiple abusers among multiple users","should block multiple abusers among multiple users",""
"passed","Mon Aug 04 10:38:00 GMT 2025","Mon Aug 04 10:38:00 GMT 2025","20","useCreateSubscription","","","","","should dispatch notification about fetch topic content type error",""
"passed","Mon Aug 04 10:45:03 GMT 2025","Mon Aug 04 10:45:06 GMT 2025","2250","","pl.allegro.tech.hermes.integrationtests.PublishingTimeoutTest","","pl.allegro.tech.hermes.integrationtests.PublishingTimeoutTest","shouldHandleTimeoutForSlowRequestWithChunkedEncoding","shouldHandleTimeoutForSlowRequestWithChunkedEncoding()",""
"passed","Mon Aug 04 10:42:02 GMT 2025","Mon Aug 04 10:42:22 GMT 2025","20011","","TopicMetadataLoadingExecutorTest","","pl.allegro.tech.hermes.frontend.producer.kafka.TopicMetadataLoadingExecutorTest","should retry loading topic metadata","should retry loading topic metadata",""
"passed","Mon Aug 04 10:40:20 GMT 2025","Mon Aug 04 10:40:20 GMT 2025","9","","HermesSenderTest","","pl.allegro.tech.hermes.client.HermesSenderTest","should send Schema-Version header when publishing with schema using OkHttpSender sender","should send Schema-Version header when publishing with schema using OkHttpSender sender",""
"passed","Mon Aug 04 10:40:33 GMT 2025","Mon Aug 04 10:40:33 GMT 2025","147","IntegrationTest","ZookeeperGroupRepositoryTest","","pl.allegro.tech.hermes.infrastructure.zookeeper.ZookeeperGroupRepositoryTest","should create group","should create group",""
"passed","Mon Aug 04 10:40:21 GMT 2025","Mon Aug 04 10:40:21 GMT 2025","11","","HermesSenderTest","","pl.allegro.tech.hermes.client.HermesSenderTest","should read header HERMES-MESSAGE-ID being case insensitive when publishing using WebClientSender sender","should read header HERMES-MESSAGE-ID being case insensitive when publishing using WebClientSender sender",""
"passed","Mon Aug 04 10:43:58 GMT 2025","Mon Aug 04 10:44:00 GMT 2025","2350","","pl.allegro.tech.hermes.integrationtests.PublishingAndConsumingTest","","pl.allegro.tech.hermes.integrationtests.PublishingAndConsumingTest","shouldConsumeMessagesOnMultipleSubscriptions","shouldConsumeMessagesOnMultipleSubscriptions()",""
"passed","Mon Aug 04 10:43:59 GMT 2025","Mon Aug 04 10:43:59 GMT 2025","14","","TopicValidatorWithRealApiPreconditionsTest","","pl.allegro.tech.hermes.management.domain.topic.validator.TopicValidatorWithRealApiPreconditionsTest","updating topic with 8 days retention time should be valid for admin [retentionTime: <pl.allegro.tech.hermes.api.RetentionTime@27 duration=8 retentionUnit=DAYS>, #0]","updating topic with 8 days retention time should be valid for admin [retentionTime: <pl.allegro.tech.hermes.api.RetentionTime@27 duration=8 retentionUnit=DAYS>, #0]",""
"passed","Mon Aug 04 10:40:55 GMT 2025","Mon Aug 04 10:40:55 GMT 2025","3","","GooglePubSubMessageTransformerCreatorTest","","pl.allegro.tech.hermes.consumers.consumer.sender.googlepubsub.GooglePubSubMessageTransformerCreatorTest","should create message transformer according to Hermes and subscription settings [codec: null, compressionEnabled: true, shouldCompress: false, #4]","should create message transformer according to Hermes and subscription settings [codec: null, compressionEnabled: true, shouldCompress: false, #4]",""
