"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 05 11:11:52 GMT 2024","Sat Oct 05 11:11:52 GMT 2024","111","PropertiesList","","","","","should render property tooltip { property: 'topicView.properties.storeOffline', tooltip: 'topicView.properties.tooltips.storeOffline' }",""
"passed","Sat Oct 05 11:13:12 GMT 2024","Sat Oct 05 11:13:12 GMT 2024","64","","HermesSenderTest","","pl.allegro.tech.hermes.client.HermesSenderTest","should send Content-Type header when publishing using OkHttpSender sender","should send Content-Type header when publishing using OkHttpSender sender",""
"passed","Sat Oct 05 11:13:57 GMT 2024","Sat Oct 05 11:13:57 GMT 2024","5","","JettyBroadCastMessageSenderTest","","pl.allegro.tech.hermes.consumers.consumer.sender.http.JettyBroadCastMessageSenderTest","should return succeeded when endpoint resolver return no hosts and but message was sent previously","should return succeeded when endpoint resolver return no hosts and but message was sent previously",""
"passed","Sat Oct 05 11:16:46 GMT 2024","Sat Oct 05 11:16:47 GMT 2024","1495","","pl.allegro.tech.hermes.integrationtests.PublishingAndConsumingTest","","pl.allegro.tech.hermes.integrationtests.PublishingAndConsumingTest","shouldPublishAndConsumeMessage","shouldPublishAndConsumeMessage()",""
"passed","Sat Oct 05 11:17:44 GMT 2024","Sat Oct 05 11:17:44 GMT 2024","10","","pl.allegro.tech.hermes.integrationtests.management.GroupManagementTest","","pl.allegro.tech.hermes.integrationtests.management.GroupManagementTest","shouldCreateGroup","shouldCreateGroup()",""
"passed","Sat Oct 05 11:12:11 GMT 2024","Sat Oct 05 11:12:11 GMT 2024","86","useMetrics","","","","","should fetch dashboard url from Hermes API for topic",""
"passed","Sat Oct 05 11:18:43 GMT 2024","Sat Oct 05 11:18:43 GMT 2024","6","","SchemaRegistryRawSchemaClientTest","","pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClientTest","should throw schema registration exception for invalid schema registration [client: <pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClient@d3346f7 schemaRepositoryInstanceResolver=pl.allegro.tech.hermes.schema.resolver.DefaultSchemaRepositoryInstanceResolver@1c511e32 objectMapper=com.fasterxml.jackson.databind.ObjectMapper@4cb62aac validationEndpointEnabled=false deleteSchemaPathSuffix=versions subjectNamingStrategy=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda$565/0x00007fdf04467af8@15f436d7>, subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda$565/0x00007fdf04467af8@15f436d7 arg$1=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda$563/0x00007fdf04467670@4f93303f arg$2=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$Namespace@13b9da00>, #2]","should throw schema registration exception for invalid schema registration [client: <pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClient@d3346f7 schemaRepositoryInstanceResolver=pl.allegro.tech.hermes.schema.resolver.DefaultSchemaRepositoryInstanceResolver@1c511e32 objectMapper=com.fasterxml.jackson.databind.ObjectMapper@4cb62aac validationEndpointEnabled=false deleteSchemaPathSuffix=versions subjectNamingStrategy=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda$565/0x00007fdf04467af8@15f436d7>, subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda$565/0x00007fdf04467af8@15f436d7 arg$1=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda$563/0x00007fdf04467670@4f93303f arg$2=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$Namespace@13b9da00>, #2]",""
"passed","Sat Oct 05 11:17:41 GMT 2024","Sat Oct 05 11:17:41 GMT 2024","9","","pl.allegro.tech.hermes.integrationtests.TopicBlacklistTest","","pl.allegro.tech.hermes.integrationtests.TopicBlacklistTest","shouldBlacklistNonExistingTopic","shouldBlacklistNonExistingTopic()",""
"passed","Sat Oct 05 11:14:25 GMT 2024","Sat Oct 05 11:14:25 GMT 2024","1","","pl.allegro.tech.hermes.consumers.uri.UriUtilsTest","","pl.allegro.tech.hermes.consumers.uri.UriUtilsTest","shouldExtractHostFromUri","shouldExtractHostFromUri",""
"passed","Sat Oct 05 11:12:23 GMT 2024","Sat Oct 05 11:12:24 GMT 2024","45","InconsistentGroupListing","","","","","should render inconsistent groups table with filter applied (case-insensitive, filter: PL.ALLEGRO.PUBLIC.GROUP)",""
