"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","546","shouldRegisterConsumerInActiveNodesRegistryOnStartup","","Wed Feb 18 13:07:44 UTC 2026","passed","Wed Feb 18 13:07:44 UTC 2026","","pl.allegro.tech.hermes.consumers.supervisor.workload.WorkloadSupervisorIntegrationTest","pl.allegro.tech.hermes.consumers.supervisor.workload.WorkloadSupervisorIntegrationTest","shouldRegisterConsumerInActiveNodesRegistryOnStartup"
"","19","should pass through messages from loggers without aggregation enabled","","Wed Feb 18 13:06:51 UTC 2026","passed","Wed Feb 18 13:06:51 UTC 2026","","AggregatingTurboFilterTest","pl.allegro.tech.hermes.infrastructure.logback.AggregatingTurboFilterTest","should pass through messages from loggers without aggregation enabled"
"","244","should remove topic with metrics and without preview","IntegrationTest","Wed Feb 18 13:06:57 UTC 2026","passed","Wed Feb 18 13:06:58 UTC 2026","","ZookeeperTopicRepositoryTest","pl.allegro.tech.hermes.infrastructure.zookeeper.ZookeeperTopicRepositoryTest","should remove topic with metrics and without preview"
"","41","should use exponential backoff if retry sleep was defined","","Wed Feb 18 13:06:40 UTC 2026","passed","Wed Feb 18 13:06:40 UTC 2026","","ReactiveHermesClientTest","pl.allegro.tech.hermes.client.ReactiveHermesClientTest","should use exponential backoff if retry sleep was defined"
"","0","topic with allowed labels should be valid during update [givenAllowedLabels: [TopicLabel(label-1)], updatedTopicLabels: [TopicLabel(label-1)], #2]","","Wed Feb 18 13:10:24 UTC 2026","passed","Wed Feb 18 13:10:24 UTC 2026","","TopicValidatorTest","pl.allegro.tech.hermes.management.domain.topic.validator.TopicValidatorTest","topic with allowed labels should be valid during update [givenAllowedLabels: [TopicLabel(label-1)], updatedTopicLabels: [TopicLabel(label-1)], #2]"
"","228","should return empty optional for last modified time of non existing counter","MultiZookeeperIntegrationTest","Wed Feb 18 13:11:46 UTC 2026","passed","Wed Feb 18 13:11:46 UTC 2026","","SummedSharedCounterTest","pl.allegro.tech.hermes.management.infrastructure.metrics.SummedSharedCounterTest","should return empty optional for last modified time of non existing counter"
"","5062","should throw on more than 1 message of particular class","","Wed Feb 18 13:12:14 UTC 2026","passed","Wed Feb 18 13:12:19 UTC 2026","","HermesMockTest","pl.allegro.tech.hermes.mock.HermesMockTest","should throw on more than 1 message of particular class"
"","3127","shouldReportUnhealthySubscriptionsDisrespectingSeverity()","","Wed Feb 18 13:12:45 UTC 2026","passed","Wed Feb 18 13:12:48 UTC 2026","","pl.allegro.tech.hermes.integrationtests.management.ListUnhealthySubscriptionsForOwnerTest","pl.allegro.tech.hermes.integrationtests.management.ListUnhealthySubscriptionsForOwnerTest","shouldReportUnhealthySubscriptionsDisrespectingSeverity"
"","1","should find topics by various name queries [queryString: PL.FIRST-TOPIC, expectedTopics: [pl.first-topic], #6]","","Wed Feb 18 13:10:20 UTC 2026","passed","Wed Feb 18 13:10:20 UTC 2026","","SearchServiceSpec","pl.allegro.tech.hermes.management.domain.search.SearchServiceSpec","should find topics by various name queries [queryString: PL.FIRST-TOPIC, expectedTopics: [pl.first-topic], #6]"
"","16","should validate valid endpoint","","Wed Feb 18 13:10:23 UTC 2026","passed","Wed Feb 18 13:10:23 UTC 2026","","EndpointAddressFormatValidatorTest","pl.allegro.tech.hermes.management.domain.subscription.validator.EndpointAddressFormatValidatorTest","should validate valid endpoint"
