"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","238","shouldReturnClientErrorWhenRequestingViewRetransmissionWithNotExistingTargetTopic()","","Fri May 29 08:56:56 UTC 2026","passed","Fri May 29 08:56:56 UTC 2026","","pl.allegro.tech.hermes.integrationtests.management.OfflineRetransmissionManagementTest","pl.allegro.tech.hermes.integrationtests.management.OfflineRetransmissionManagementTest","shouldReturnClientErrorWhenRequestingViewRetransmissionWithNotExistingTargetTopic"
"","490","shouldNotPublishAvroWhenMessageIsNotJsonOrAvro()","","Fri May 29 08:55:13 UTC 2026","passed","Fri May 29 08:55:13 UTC 2026","","pl.allegro.tech.hermes.integrationtests.PublishingAvroTest","pl.allegro.tech.hermes.integrationtests.PublishingAvroTest","shouldNotPublishAvroWhenMessageIsNotJsonOrAvro"
"","23","should get all messages","","Fri May 29 08:55:15 UTC 2026","passed","Fri May 29 08:55:15 UTC 2026","","HermesMockTest","pl.allegro.tech.hermes.mock.HermesMockTest","should get all messages"
"","2","should return decomposed parts of URI when matching URI pattern containing https scheme","","Fri May 29 08:50:20 UTC 2026","passed","Fri May 29 08:50:20 UTC 2026","","EndpointAddressTest","pl.allegro.tech.hermes.api.EndpointAddressTest","should return decomposed parts of URI when matching URI pattern containing https scheme"
"","0","should convert and cast primitive types [suite: primitives, avroType: string, protoDescriptor: <com.google.protobuf.Descriptors$Descriptor@c32b8b0 index=inaccessible proto=inaccessible fullName=inaccessible file=inaccessible containingType=inaccessible nestedTypes=inaccessible enumTypes=inaccessible fields=inaccessible fieldsSortedByNumber=inaccessible extensions=inaccessible oneofs=inaccessible realOneofCount=inaccessible extensionRangeLowerBounds=inaccessible extensionRangeUpperBounds=inaccessible>, avroValue: 12.0, expectedProtoValue: 12.0, #4]","","Fri May 29 08:51:04 UTC 2026","passed","Fri May 29 08:51:04 UTC 2026","","ConvertAndCastPrimitivesTest","pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertAndCastPrimitivesTest","should convert and cast primitive types [suite: primitives, avroType: string, protoDescriptor: <com.google.protobuf.Descriptors$Descriptor@c32b8b0 index=inaccessible proto=inaccessible fullName=inaccessible file=inaccessible containingType=inaccessible nestedTypes=inaccessible enumTypes=inaccessible fields=inaccessible fieldsSortedByNumber=inaccessible extensions=inaccessible oneofs=inaccessible realOneofCount=inaccessible extensionRangeLowerBounds=inaccessible extensionRangeUpperBounds=inaccessible>, avroValue: 12.0, expectedProtoValue: 12.0, #4]"
"","674","should activate tab on click","TopicView","Fri May 29 08:48:34 UTC 2026","passed","Fri May 29 08:48:35 UTC 2026","","","",""
"","227","should topics details by topic names","IntegrationTest","Fri May 29 08:50:47 UTC 2026","passed","Fri May 29 08:50:47 UTC 2026","","ZookeeperTopicRepositoryTest","pl.allegro.tech.hermes.infrastructure.zookeeper.ZookeeperTopicRepositoryTest","should topics details by topic names"
"","9","should append '_avro' suffix for topics of type AVRO","","Fri May 29 08:50:37 UTC 2026","passed","Fri May 29 08:50:37 UTC 2026","","JsonToAvroMigrationKafkaNamesMapperTest","pl.allegro.tech.hermes.common.kafka.JsonToAvroMigrationKafkaNamesMapperTest","should append '_avro' suffix for topics of type AVRO"
"","0","Time range validator should validate topic retransmission request when startTimestamp is 'null', endTimestamp is 'null'","","Fri May 29 08:50:22 UTC 2026","passed","Fri May 29 08:50:22 UTC 2026","","RetransmissionTimeRangeValidatorTest","pl.allegro.tech.hermes.api.constraints.RetransmissionTimeRangeValidatorTest","Time range validator should validate topic retransmission request when startTimestamp is 'null', endTimestamp is 'null'"
"","5959","nodes should remain unchanged in case of unavailability while updating topic constraints","MultiZookeeperIntegrationTest","Fri May 29 08:54:03 UTC 2026","passed","Fri May 29 08:54:09 UTC 2026","","WorkloadConstraintsServiceTest","pl.allegro.tech.hermes.management.domain.workload.constraints.WorkloadConstraintsServiceTest","nodes should remain unchanged in case of unavailability while updating topic constraints"
