"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","array paths [path: .title.aliases[5], matcher: null, matchingStrategy: any, result: true, #32]","","Fri Apr 24 08:28:30 UTC 2026","passed","Fri Apr 24 08:28:30 UTC 2026","","AvroPathMessageFilterSpec","pl.allegro.tech.hermes.domain.filtering.AvroPathMessageFilterSpec","array paths [path: .title.aliases[5], matcher: null, matchingStrategy: any, result: true, #32]"
"","203","should show confirmation dialog on remove button click","GroupTopicsView","Fri Apr 24 08:25:22 UTC 2026","passed","Fri Apr 24 08:25:23 UTC 2026","","","",""
"","338","should render subscription health alert","SubscriptionView","Fri Apr 24 08:25:10 UTC 2026","passed","Fri Apr 24 08:25:10 UTC 2026","","","",""
"","146","should render subscription codes4xx","MetricsCard","Fri Apr 24 08:25:27 UTC 2026","passed","Fri Apr 24 08:25:27 UTC 2026","","","",""
"","0","should not remove duplicated UPDATE_SUBSCRIPTION signals","","Fri Apr 24 08:29:02 UTC 2026","passed","Fri Apr 24 08:29:02 UTC 2026","","SignalsFilterTest","pl.allegro.tech.hermes.consumers.supervisor.process.SignalsFilterTest","should not remove duplicated UPDATE_SUBSCRIPTION signals"
"","184","should render listing with no filter applied","FavoriteTopicsListing","Fri Apr 24 08:25:57 UTC 2026","passed","Fri Apr 24 08:25:58 UTC 2026","","","",""
"","4","should deserialize provider with previously missing socket timeout","","Fri Apr 24 08:28:03 UTC 2026","passed","Fri Apr 24 08:28:03 UTC 2026","","OAuthProviderTest","pl.allegro.tech.hermes.api.OAuthProviderTest","should deserialize provider with previously missing socket timeout"
"","1","should filter '$.topping[4:7].type' matching '^Choco.*' with result: false","","Fri Apr 24 08:28:30 UTC 2026","passed","Fri Apr 24 08:28:30 UTC 2026","","JsonPathMessageFilterSpec","pl.allegro.tech.hermes.domain.filtering.JsonPathMessageFilterSpec","should filter '$.topping[4:7].type' matching '^Choco.*' with result: false"
"","3","should retrieve topic name and subscription name from subscription fully qualified name","topics-utils","Fri Apr 24 08:26:34 UTC 2026","passed","Fri Apr 24 08:26:34 UTC 2026","","","",""
"","2018","shouldIgnoreExponentialRetryBackoffWithRetryAfter","","Fri Apr 24 08:29:10 UTC 2026","passed","Fri Apr 24 08:29:12 UTC 2026","","pl.allegro.tech.hermes.consumers.consumer.ConsumerMessageSenderTest","pl.allegro.tech.hermes.consumers.consumer.ConsumerMessageSenderTest","shouldIgnoreExponentialRetryBackoffWithRetryAfter"
"","25","shouldNotSendOldMessages","","Fri Apr 24 08:31:03 UTC 2026","passed","Fri Apr 24 08:31:03 UTC 2026","","pl.allegro.tech.hermes.frontend.buffer.BackupMessagesLoaderTest","pl.allegro.tech.hermes.frontend.buffer.BackupMessagesLoaderTest","shouldNotSendOldMessages"
"","355","shouldNotPublishWithoutPermissionWhenAuthenticated(Topic) [1] Topic(TopicBuilderGroup233.TopicBuilderTopic234)","","Fri Apr 24 08:33:15 UTC 2026","passed","Fri Apr 24 08:33:15 UTC 2026","","pl.allegro.tech.hermes.integrationtests.TopicAuthorizationTest","pl.allegro.tech.hermes.integrationtests.TopicAuthorizationTest","shouldNotPublishWithoutPermissionWhenAuthenticated"
"","17","creating topic with over 2 days retention time should be valid for admin [retentionTime: <pl.allegro.tech.hermes.api.RetentionTime@50 duration=inaccessible retentionUnit=inaccessible>, #1]","","Fri Apr 24 08:31:43 UTC 2026","passed","Fri Apr 24 08:31:43 UTC 2026","","TopicValidatorWithRealApiPreconditionsTest","pl.allegro.tech.hermes.management.domain.topic.validator.TopicValidatorWithRealApiPreconditionsTest","creating topic with over 2 days retention time should be valid for admin [retentionTime: <pl.allegro.tech.hermes.api.RetentionTime@50 duration=inaccessible retentionUnit=inaccessible>, #1]"
"","614","should dispatch notification about validation error","SubscriptionForm","Fri Apr 24 08:25:33 UTC 2026","passed","Fri Apr 24 08:25:33 UTC 2026","","","",""
"","54","should set error to true on subscription metrics endpoint failure","useSubscription","Fri Apr 24 08:24:58 UTC 2026","passed","Fri Apr 24 08:24:58 UTC 2026","","","",""
"","215","should render subscription monitoring severity (IMPORTANT)","PropertiesCard","Fri Apr 24 08:25:05 UTC 2026","passed","Fri Apr 24 08:25:05 UTC 2026","","","",""
"","1","should return metrics from cache while TTL has not expired","","Fri Apr 24 08:32:43 UTC 2026","passed","Fri Apr 24 08:32:43 UTC 2026","","CachingPrometheusClientTest","pl.allegro.tech.hermes.management.infrastructure.prometheus.CachingPrometheusClientTest","should return metrics from cache while TTL has not expired"
"","5","should increment term when assigning partitions","","Fri Apr 24 08:28:52 UTC 2026","passed","Fri Apr 24 08:28:52 UTC 2026","","ConsumerPartitionAssignmentStateTest","pl.allegro.tech.hermes.consumers.consumer.offset.ConsumerPartitionAssignmentStateTest","should increment term when assigning partitions"
"","215","should render empty inactive topics listing","InactiveTopicsListing","Fri Apr 24 08:26:16 UTC 2026","passed","Fri Apr 24 08:26:17 UTC 2026","","","",""
"","7","should show success notification when topic sync is successful","useSync","Fri Apr 24 08:25:36 UTC 2026","passed","Fri Apr 24 08:25:36 UTC 2026","","","",""
"","59","should set error to true on consumerGroups endpoint failure","useConsumerGroups","Fri Apr 24 08:26:18 UTC 2026","passed","Fri Apr 24 08:26:18 UTC 2026","","","",""
