"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 22 12:04:17 GMT 2025","Mon Sep 22 12:04:17 GMT 2025","0","dates-utils","","","","","should format ISO date from provided timestamp (1500100900)",""
"passed","Mon Sep 22 12:04:18 GMT 2025","Mon Sep 22 12:04:18 GMT 2025","205","ConsumerGroupsTable","","","","","should render consumerGroups table",""
"passed","Mon Sep 22 12:09:22 GMT 2025","Mon Sep 22 12:09:23 GMT 2025","333","MultiZookeeperIntegrationTest","HealthCheckTaskTest","","pl.allegro.tech.hermes.management.domain.health.HealthCheckTaskTest","should change status from READ_ONLY_ADMIN to READ_WRITE only by admin","should change status from READ_ONLY_ADMIN to READ_WRITE only by admin",""
"passed","Mon Sep 22 12:08:04 GMT 2025","Mon Sep 22 12:08:04 GMT 2025","4","","DynamicThroughputLimiterTest","","pl.allegro.tech.hermes.frontend.publishing.DynamicThroughputLimiterTest","should block multiple abusers among multiple users","should block multiple abusers among multiple users",""
"passed","Mon Sep 22 12:08:04 GMT 2025","Mon Sep 22 12:08:04 GMT 2025","2","","MessageStateTest","","pl.allegro.tech.hermes.frontend.publishing.message.MessageStateTest","should not set 'delayed sending' state from 'sent to kafka'","should not set 'delayed sending' state from 'sent to kafka'",""
"passed","Mon Sep 22 12:05:56 GMT 2025","Mon Sep 22 12:05:56 GMT 2025","1","","JsonPathMessageFilterSpec","","pl.allegro.tech.hermes.domain.filtering.JsonPathMessageFilterSpec","should filter '$.batters.batter[2].type' matching '^Choco.*' with result: false","should filter '$.batters.batter[2].type' matching '^Choco.*' with result: false",""
"passed","Mon Sep 22 12:03:49 GMT 2025","Mon Sep 22 12:03:49 GMT 2025","111","OfflineRetransmissionInfo","","","","","should render the link to the global task queue",""
"passed","Mon Sep 22 12:03:18 GMT 2025","Mon Sep 22 12:03:18 GMT 2025","42","useEditSubscription","","","","","should dispatch notification about subscription edit parse error",""
"passed","Mon Sep 22 12:05:56 GMT 2025","Mon Sep 22 12:05:56 GMT 2025","60","","JsonPathMessageFilterSpec","","pl.allegro.tech.hermes.domain.filtering.JsonPathMessageFilterSpec","should filter '$.type' matching 'donut' with result: true","should filter '$.type' matching 'donut' with result: true",""
"passed","Mon Sep 22 12:09:27 GMT 2025","Mon Sep 22 12:09:28 GMT 2025","13","","TopicValidatorWithRealApiPreconditionsTest","","pl.allegro.tech.hermes.management.domain.topic.validator.TopicValidatorWithRealApiPreconditionsTest","updating topic with up to 7 days of retention time should be valid [retentionTime: <pl.allegro.tech.hermes.api.RetentionTime@67 duration=72 retentionUnit=HOURS>, user: <pl.allegro.tech.hermes.management.domain.auth.TestRequestUser@65dcf80f username=admin admin=true isOwner=false>, #6]","updating topic with up to 7 days of retention time should be valid [retentionTime: <pl.allegro.tech.hermes.api.RetentionTime@67 duration=72 retentionUnit=HOURS>, user: <pl.allegro.tech.hermes.management.domain.auth.TestRequestUser@65dcf80f username=admin admin=true isOwner=false>, #6]",""
