"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","should not set 'delayed sending' state from 'sent to kafka'","","Fri Mar 13 13:18:40 UTC 2026","passed","Fri Mar 13 13:18:40 UTC 2026","","MessageStateTest","pl.allegro.tech.hermes.frontend.publishing.message.MessageStateTest","should not set 'delayed sending' state from 'sent to kafka'"
"","485","shouldListActiveTopicRetransmissionMonitoringInfoForSourceAndTargetTopic()","","Fri Mar 13 13:22:15 UTC 2026","passed","Fri Mar 13 13:22:15 UTC 2026","","pl.allegro.tech.hermes.integrationtests.management.OfflineRetransmissionManagementTest","pl.allegro.tech.hermes.integrationtests.management.OfflineRetransmissionManagementTest","shouldListActiveTopicRetransmissionMonitoringInfoForSourceAndTargetTopic"
"","1","should provide latest schema version [versions: [SchemaVersion(1), SchemaVersion(2)], latestVersion: SchemaVersion(2), #2]","","Fri Mar 13 13:21:26 UTC 2026","passed","Fri Mar 13 13:21:26 UTC 2026","","CachedSchemaVersionsRepositoryTest","pl.allegro.tech.hermes.schema.CachedSchemaVersionsRepositoryTest","should provide latest schema version [versions: [SchemaVersion(1), SchemaVersion(2)], latestVersion: SchemaVersion(2), #2]"
"","1","topic with migratedFromJsonType flag set when creating should be invalid","","Fri Mar 13 13:19:46 UTC 2026","passed","Fri Mar 13 13:19:46 UTC 2026","","TopicValidatorTest","pl.allegro.tech.hermes.management.domain.topic.validator.TopicValidatorTest","topic with migratedFromJsonType flag set when creating should be invalid"
"","44","should disable buttons and show spinner when skipping all messages is in progress","ManageMessagesCard","Fri Mar 13 13:14:38 UTC 2026","passed","Fri Mar 13 13:14:38 UTC 2026","","","",""
"","1","should fail when owner source doesn't exist","","Fri Mar 13 13:19:42 UTC 2026","passed","Fri Mar 13 13:19:42 UTC 2026","","OwnerIdValidatorSpec","pl.allegro.tech.hermes.management.domain.owner.validator.OwnerIdValidatorSpec","should fail when owner source doesn't exist"
"","3","should find subscriptions by various name queries [queryString: first-subscription, expectedSubscriptions: [first-subscription], #0]","","Fri Mar 13 13:19:42 UTC 2026","passed","Fri Mar 13 13:19:42 UTC 2026","","SearchServiceSpec","pl.allegro.tech.hermes.management.domain.search.SearchServiceSpec","should find subscriptions by various name queries [queryString: first-subscription, expectedSubscriptions: [first-subscription], #0]"
"","5001","shouldBackupMessage()","","Fri Mar 13 13:20:24 UTC 2026","passed","Fri Mar 13 13:20:29 UTC 2026","","pl.allegro.tech.hermes.integrationtests.MessageBufferLoadingTest","pl.allegro.tech.hermes.integrationtests.MessageBufferLoadingTest","shouldBackupMessage"
"","769","shouldNotAllowOnDeletingTopicWithSubscriptions()","","Fri Mar 13 13:24:16 UTC 2026","passed","Fri Mar 13 13:24:17 UTC 2026","","pl.allegro.tech.hermes.integrationtests.management.TopicManagementTest","pl.allegro.tech.hermes.integrationtests.management.TopicManagementTest","shouldNotAllowOnDeletingTopicWithSubscriptions"
"","0","shouldNotDeleteFromUnchangedView","","Fri Mar 13 13:17:15 UTC 2026","passed","Fri Mar 13 13:17:15 UTC 2026","","pl.allegro.tech.hermes.consumers.supervisor.workload.SubscriptionAssignmentViewTest","pl.allegro.tech.hermes.consumers.supervisor.workload.SubscriptionAssignmentViewTest","shouldNotDeleteFromUnchangedView"
