"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2455","shouldConsumeMessagesOnMultipleSubscriptions()","","Mon Feb 23 11:56:41 UTC 2026","passed","Mon Feb 23 11:56:43 UTC 2026","","pl.allegro.tech.hermes.integrationtests.PublishingAndConsumingTest","pl.allegro.tech.hermes.integrationtests.PublishingAndConsumingTest","shouldConsumeMessagesOnMultipleSubscriptions"
"","5245","shouldBackupMessage()","","Mon Feb 23 11:57:15 UTC 2026","passed","Mon Feb 23 11:57:21 UTC 2026","","pl.allegro.tech.hermes.integrationtests.MessageBufferLoadingTest","pl.allegro.tech.hermes.integrationtests.MessageBufferLoadingTest","shouldBackupMessage"
"","4","should remove signals that should be executed later and put them back on task queue","","Mon Feb 23 11:53:58 UTC 2026","passed","Mon Feb 23 11:53:58 UTC 2026","","SignalsFilterTest","pl.allegro.tech.hermes.consumers.supervisor.process.SignalsFilterTest","should remove signals that should be executed later and put them back on task queue"
"","32","should render inconsistent groups table with filter applied (case-insensitive, filter: PL.ALLEGRO.PUBLIC.GROUP)","InconsistentGroupListing","Mon Feb 23 11:52:11 UTC 2026","passed","Mon Feb 23 11:52:11 UTC 2026","","","",""
"","6318","nodes should remain unchanged in case of failure while deleting topic constraints","MultiZookeeperIntegrationTest","Mon Feb 23 11:57:40 UTC 2026","passed","Mon Feb 23 11:57:47 UTC 2026","","WorkloadConstraintsServiceTest","pl.allegro.tech.hermes.management.domain.workload.constraints.WorkloadConstraintsServiceTest","nodes should remain unchanged in case of failure while deleting topic constraints"
"","135","should render subscription list and apply a filter (case-insensitive, filter: FOOBAR)","SubscriptionsList","Mon Feb 23 11:51:28 UTC 2026","passed","Mon Feb 23 11:51:29 UTC 2026","","","",""
"","215","should list all topic names","IntegrationTest","Mon Feb 23 11:53:30 UTC 2026","passed","Mon Feb 23 11:53:31 UTC 2026","","ZookeeperTopicRepositoryTest","pl.allegro.tech.hermes.infrastructure.zookeeper.ZookeeperTopicRepositoryTest","should list all topic names"
"","5042","should throw on more than 1 message of particular class","","Mon Feb 23 11:58:39 UTC 2026","passed","Mon Feb 23 11:58:44 UTC 2026","","HermesMockTest","pl.allegro.tech.hermes.mock.HermesMockTest","should throw on more than 1 message of particular class"
"","691","shouldSendMessageToUsernamePasswordGrantOAuthSecuredEndpoint()","","Mon Feb 23 11:56:37 UTC 2026","passed","Mon Feb 23 11:56:38 UTC 2026","","pl.allegro.tech.hermes.integrationtests.OAuthIntegrationTest","pl.allegro.tech.hermes.integrationtests.OAuthIntegrationTest","shouldSendMessageToUsernamePasswordGrantOAuthSecuredEndpoint"
"","28","should report aggregated messages grouping by params","","Mon Feb 23 11:53:25 UTC 2026","passed","Mon Feb 23 11:53:25 UTC 2026","","AggregatingTurboFilterTest","pl.allegro.tech.hermes.infrastructure.logback.AggregatingTurboFilterTest","should report aggregated messages grouping by params"
"","172","should render component with hidden tooltip","KeyValueCardItem","Mon Feb 23 11:51:53 UTC 2026","passed","Mon Feb 23 11:51:53 UTC 2026","","","",""
"","7","should resolve endpoint address","","Mon Feb 23 11:53:50 UTC 2026","passed","Mon Feb 23 11:53:50 UTC 2026","","GoogleBigQuerySenderTargetResolverTest","pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.GoogleBigQuerySenderTargetResolverTest","should resolve endpoint address"
"","81","should hide loading spinner when data fetch is complete","GroupsView","Mon Feb 23 11:51:24 UTC 2026","passed","Mon Feb 23 11:51:24 UTC 2026","","","",""
"","6","should delete all schema versions [client: <pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClient@4c8bbc6d schemaRepositoryInstanceResolver=pl.allegro.tech.hermes.schema.resolver.DefaultSchemaRepositoryInstanceResolver@6c6f49d1 objectMapper=com.fasterxml.jackson.databind.ObjectMapper@4a30fa8f validationEndpointEnabled=false deleteSchemaPathSuffix=versions subjectNamingStrategy=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007fbd3847e5f8@7aee9f49>, subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007fbd3847e5f8@7aee9f49 arg$1=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007fbd3847e170@5205b3e2 arg$2=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$Namespace@2419f457>, #2]","","Mon Feb 23 11:58:52 UTC 2026","passed","Mon Feb 23 11:58:52 UTC 2026","","SchemaRegistryRawSchemaClientTest","pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClientTest","should delete all schema versions [client: <pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClient@4c8bbc6d schemaRepositoryInstanceResolver=pl.allegro.tech.hermes.schema.resolver.DefaultSchemaRepositoryInstanceResolver@6c6f49d1 objectMapper=com.fasterxml.jackson.databind.ObjectMapper@4a30fa8f validationEndpointEnabled=false deleteSchemaPathSuffix=versions subjectNamingStrategy=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007fbd3847e5f8@7aee9f49>, subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007fbd3847e5f8@7aee9f49 arg$1=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007fbd3847e170@5205b3e2 arg$2=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$Namespace@2419f457>, #2]"
"","269","should show an appropriate health problem alert (LAGGING)","HealthProblemsAlerts","Mon Feb 23 11:52:22 UTC 2026","passed","Mon Feb 23 11:52:22 UTC 2026","","","",""
"","8","should assign subscriptions to a new consumer node","","Mon Feb 23 11:53:58 UTC 2026","passed","Mon Feb 23 11:53:58 UTC 2026","","WeightedWorkBalancerTest","pl.allegro.tech.hermes.consumers.supervisor.workload.weighted.WeightedWorkBalancerTest","should assign subscriptions to a new consumer node"
"","133","should override group settings from GroupProperties","","Mon Feb 23 11:56:10 UTC 2026","passed","Mon Feb 23 11:56:10 UTC 2026","","ConsoleConfigurationSpec","pl.allegro.tech.hermes.management.config.console.ConsoleConfigurationSpec","should override group settings from GroupProperties"
"","317","should send to remote DC when local does not respond before speculativeSendDelay elapses","","Mon Feb 23 11:54:55 UTC 2026","passed","Mon Feb 23 11:54:56 UTC 2026","","MultiDatacenterMessageProducerTest","pl.allegro.tech.hermes.frontend.producer.kafka.MultiDatacenterMessageProducerTest","should send to remote DC when local does not respond before speculativeSendDelay elapses"
"","29","should show message that activating subscription was unsuccessful","useSubscription","Mon Feb 23 11:50:44 UTC 2026","passed","Mon Feb 23 11:50:44 UTC 2026","","","",""
"","106","shouldCallCallbackOnSend","","Mon Feb 23 11:56:03 UTC 2026","passed","Mon Feb 23 11:56:03 UTC 2026","","pl.allegro.tech.hermes.frontend.producer.kafka.LocalDatacenterMessageProducerTest","pl.allegro.tech.hermes.frontend.producer.kafka.LocalDatacenterMessageProducerTest","shouldCallCallbackOnSend"
"","309","should render undelivered messages card","UndeliveredMessagesCard","Mon Feb 23 11:52:13 UTC 2026","passed","Mon Feb 23 11:52:13 UTC 2026","","","",""
"","4","should find subscriptions by various owner id queries [queryString: owner-1234, expectedSubscriptions: [first-subscription], #0]","","Mon Feb 23 11:56:47 UTC 2026","passed","Mon Feb 23 11:56:47 UTC 2026","","SearchServiceSpec","pl.allegro.tech.hermes.management.domain.search.SearchServiceSpec","should find subscriptions by various owner id queries [queryString: owner-1234, expectedSubscriptions: [first-subscription], #0]"
"","0","deepSearch() - should find object in array","Json utils","Mon Feb 23 11:51:58 UTC 2026","passed","Mon Feb 23 11:51:58 UTC 2026","","","",""
"","21","should read header Hermes-Message-Id being case insensitive when publishing using RestClient sender","","Mon Feb 23 11:53:14 UTC 2026","passed","Mon Feb 23 11:53:14 UTC 2026","","HermesSenderTest","pl.allegro.tech.hermes.client.HermesSenderTest","should read header Hermes-Message-Id being case insensitive when publishing using RestClient sender"
"","551","should render filters table","FiltersCard","Mon Feb 23 11:52:16 UTC 2026","passed","Mon Feb 23 11:52:16 UTC 2026","","","",""
"","904","shouldSendMessageIdHeaderToSubscriber()","","Mon Feb 23 11:57:32 UTC 2026","passed","Mon Feb 23 11:57:33 UTC 2026","","pl.allegro.tech.hermes.integrationtests.PublishingAvroTest","pl.allegro.tech.hermes.integrationtests.PublishingAvroTest","shouldSendMessageIdHeaderToSubscriber"
"","389","should open create topic constraint dialog when add topic constraint is clicked","ConstraintsView","Mon Feb 23 11:51:24 UTC 2026","passed","Mon Feb 23 11:51:25 UTC 2026","","","",""
"","143","should show loading spinner when fetching Readiness data","ReadinessView","Mon Feb 23 11:51:36 UTC 2026","passed","Mon Feb 23 11:51:36 UTC 2026","","","",""
"","4731","should publish messages on only one partition for the same partition-key","","Mon Feb 23 11:54:50 UTC 2026","passed","Mon Feb 23 11:54:54 UTC 2026","","LocalDatacenterMessageProducerIntegrationTest","pl.allegro.tech.hermes.frontend.producer.kafka.LocalDatacenterMessageProducerIntegrationTest","should publish messages on only one partition for the same partition-key"
"","161","should wait until all sent after shutdown","","Mon Feb 23 11:53:08 UTC 2026","passed","Mon Feb 23 11:53:08 UTC 2026","","HermesClientTest","pl.allegro.tech.hermes.client.HermesClientTest","should wait until all sent after shutdown"
"","14362","shouldSendOnlyWhenBrokerTopicIsAvailable","","Mon Feb 23 11:55:48 UTC 2026","passed","Mon Feb 23 11:56:02 UTC 2026","","pl.allegro.tech.hermes.frontend.buffer.BackupMessagesLoaderTest","pl.allegro.tech.hermes.frontend.buffer.BackupMessagesLoaderTest","shouldSendOnlyWhenBrokerTopicIsAvailable"
"","110","should render no results message","CommandPalette","Mon Feb 23 11:51:32 UTC 2026","passed","Mon Feb 23 11:51:32 UTC 2026","","","",""
"","2","should interpret message as failed for status different than 201 or 202 [status: 401, #3]","","Mon Feb 23 11:53:14 UTC 2026","passed","Mon Feb 23 11:53:14 UTC 2026","","ReactiveHermesClientTest","pl.allegro.tech.hermes.client.ReactiveHermesClientTest","should interpret message as failed for status different than 201 or 202 [status: 401, #3]"
"","44","shouldAcceptValidQualifiedTopicName()","","Mon Feb 23 11:58:23 UTC 2026","passed","Mon Feb 23 11:58:23 UTC 2026","","pl.allegro.tech.hermes.mock.HermesMockDefineValidationTest","pl.allegro.tech.hermes.mock.HermesMockDefineValidationTest","shouldAcceptValidQualifiedTopicName"
"","6","should throw exception when not able to fetch schema versions [client: <pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClient@715e518 schemaRepositoryInstanceResolver=pl.allegro.tech.hermes.schema.resolver.DefaultSchemaRepositoryInstanceResolver@6c6f49d1 objectMapper=com.fasterxml.jackson.databind.ObjectMapper@23ac7377 validationEndpointEnabled=false deleteSchemaPathSuffix=versions subjectNamingStrategy=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007fbd3847e170@5205b3e2>, subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007fbd3847e170@5205b3e2>, #0]","","Mon Feb 23 11:58:52 UTC 2026","passed","Mon Feb 23 11:58:52 UTC 2026","","SchemaRegistryRawSchemaClientTest","pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClientTest","should throw exception when not able to fetch schema versions [client: <pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClient@715e518 schemaRepositoryInstanceResolver=pl.allegro.tech.hermes.schema.resolver.DefaultSchemaRepositoryInstanceResolver@6c6f49d1 objectMapper=com.fasterxml.jackson.databind.ObjectMapper@23ac7377 validationEndpointEnabled=false deleteSchemaPathSuffix=versions subjectNamingStrategy=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007fbd3847e170@5205b3e2>, subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007fbd3847e170@5205b3e2>, #0]"
"","233","should list all topics","IntegrationTest","Mon Feb 23 11:53:31 UTC 2026","passed","Mon Feb 23 11:53:31 UTC 2026","","ZookeeperTopicRepositoryTest","pl.allegro.tech.hermes.infrastructure.zookeeper.ZookeeperTopicRepositoryTest","should list all topics"
"","1","should convert nullable primitive types when null [suite: nullable-primitives, avroType: float, protoDescriptor: <com.google.protobuf.Descriptors$Descriptor@40b63796 index=0 proto=name: ""NullablePrimitivesFloat""
field {
  name: ""field""
  number: 1
  label: LABEL_OPTIONAL
  type: TYPE_FLOAT
  oneof_index: 0
  proto3_optional: true
}
oneof_decl {
  name: ""_field""
}
 fullName=pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.NullablePrimitivesFloat file=com.google.protobuf.Descriptors$FileDescriptor@15fb5531 containingType=null nestedTypes=[] enumTypes=[] fields=[pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.NullablePrimitivesFloat.field] fieldsSortedByNumber=[pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.NullablePrimitivesFloat.field] extensions=[] oneofs=[com.google.protobuf.Descriptors$OneofDescriptor@62e099d7] realOneofCount=0 extensionRangeLowerBounds=[] extensionRangeUpperBounds=[]>, avroValue: null, expectedProtoValue: null, #5]","","Mon Feb 23 11:53:51 UTC 2026","passed","Mon Feb 23 11:53:51 UTC 2026","","ConvertPrimitivesTest","pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertPrimitivesTest","should convert nullable primitive types when null [suite: nullable-primitives, avroType: float, protoDescriptor: <com.google.protobuf.Descriptors$Descriptor@40b63796 index=0 proto=name: ""NullablePrimitivesFloat""
field {
  name: ""field""
  number: 1
  label: LABEL_OPTIONAL
  type: TYPE_FLOAT
  oneof_index: 0
  proto3_optional: true
}
oneof_decl {
  name: ""_field""
}
 fullName=pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.NullablePrimitivesFloat file=com.google.protobuf.Descriptors$FileDescriptor@15fb5531 containingType=null nestedTypes=[] enumTypes=[] fields=[pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.NullablePrimitivesFloat.field] fieldsSortedByNumber=[pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.NullablePrimitivesFloat.field] extensions=[] oneofs=[com.google.protobuf.Descriptors$OneofDescriptor@62e099d7] realOneofCount=0 extensionRangeLowerBounds=[] extensionRangeUpperBounds=[]>, avroValue: null, expectedProtoValue: null, #5]"
"","74","should render group listing with a filter applied (case-insensitive, filter: pl.allegro.offer)","GroupListing","Mon Feb 23 11:51:49 UTC 2026","passed","Mon Feb 23 11:51:49 UTC 2026","","","",""
"","500","should display tasks correctly in the table","OfflineRetransmissionInfo","Mon Feb 23 11:51:06 UTC 2026","passed","Mon Feb 23 11:51:06 UTC 2026","","","",""
"","58","should fetch user roles from Hermes API with topic","useRoles","Mon Feb 23 11:51:46 UTC 2026","passed","Mon Feb 23 11:51:47 UTC 2026","","","",""
"","230","should render truncated messages in the table","MessagesPreview","Mon Feb 23 11:51:14 UTC 2026","passed","Mon Feb 23 11:51:14 UTC 2026","","","",""
"","213","should render empty subscriptions table","InconsistentTopic","Mon Feb 23 11:52:04 UTC 2026","passed","Mon Feb 23 11:52:04 UTC 2026","","","",""
