"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","should not mix offsets from different partitions and topics","","Mon Feb 16 15:22:57 UTC 2026","passed","Mon Feb 16 15:22:57 UTC 2026","","OffsetCommitterTest","pl.allegro.tech.hermes.consumers.consumer.offset.OffsetCommitterTest","should not mix offsets from different partitions and topics"
"","10","should reduce rate according to provided reduction factor","","Mon Feb 16 15:22:57 UTC 2026","passed","Mon Feb 16 15:22:57 UTC 2026","","OAuthTokenRequestRateLimiterTest","pl.allegro.tech.hermes.consumers.consumer.oauth.OAuthTokenRequestRateLimiterTest","should reduce rate according to provided reduction factor"
"","19","consumers number has to be greater than zero [consumersNumber: -100, #0]","","Mon Feb 16 15:22:08 UTC 2026","passed","Mon Feb 16 15:22:08 UTC 2026","","TopicConstraintsValidationTest","pl.allegro.tech.hermes.api.TopicConstraintsValidationTest","consumers number has to be greater than zero [consumersNumber: -100, #0]"
"","0","shouldStayInSlowModeIfThereWereSomeFailures","","Mon Feb 16 15:23:19 UTC 2026","passed","Mon Feb 16 15:23:19 UTC 2026","","pl.allegro.tech.hermes.consumers.consumer.rate.calculator.SlowModeOutputRateCalculatorTest","pl.allegro.tech.hermes.consumers.consumer.rate.calculator.SlowModeOutputRateCalculatorTest","shouldStayInSlowModeIfThereWereSomeFailures"
"","3","should register unsuccessful send in rate limiter","","Mon Feb 16 15:22:59 UTC 2026","passed","Mon Feb 16 15:22:59 UTC 2026","","SingleRecipientMessageSenderAdapterTest","pl.allegro.tech.hermes.consumers.consumer.sender.SingleRecipientMessageSenderAdapterTest","should register unsuccessful send in rate limiter"
"","28","should show message that suspending subscription was unsuccessful","useSubscription","Mon Feb 16 15:20:13 UTC 2026","passed","Mon Feb 16 15:20:13 UTC 2026","","","",""
"","244","should update existing node data in all zk clusters when upserting","MultiZookeeperIntegrationTest","Mon Feb 16 15:25:28 UTC 2026","passed","Mon Feb 16 15:25:28 UTC 2026","","InactiveTopicsStorageServiceTest","pl.allegro.tech.hermes.management.domain.detection.InactiveTopicsStorageServiceTest","should update existing node data in all zk clusters when upserting"
"","3","should parse query and match nested object","","Mon Feb 16 15:27:30 UTC 2026","passed","Mon Feb 16 15:27:30 UTC 2026","","JsonQueryParserTest","pl.allegro.tech.hermes.management.infrastructure.query.parser.json.JsonQueryParserTest","should parse query and match nested object"
"","265","shouldReturnGroupsWithNameContainingString()","","Mon Feb 16 15:29:39 UTC 2026","passed","Mon Feb 16 15:29:39 UTC 2026","","pl.allegro.tech.hermes.integrationtests.management.QueryEndpointTest","pl.allegro.tech.hermes.integrationtests.management.QueryEndpointTest","shouldReturnGroupsWithNameContainingString"
"","132","should render inconsistent groups table with filter applied (case-insensitive, filter: null)","InconsistentGroupListing","Mon Feb 16 15:21:40 UTC 2026","passed","Mon Feb 16 15:21:40 UTC 2026","","","",""
"","2","should convert map of primitive types [suite: map-primitives, avroType: boolean, protoDescriptor: <com.google.protobuf.Descriptors$Descriptor@45bd83de index=0 proto=name: ""PrimitivesStringToBool""
field {
  name: ""field""
  number: 1
  label: LABEL_REPEATED
  type: TYPE_MESSAGE
  type_name: "".pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.PrimitivesStringToBool.FieldEntry""
}
nested_type {
  name: ""FieldEntry""
  field {
    name: ""key""
    number: 1
    label: LABEL_OPTIONAL
    type: TYPE_STRING
  }
  field {
    name: ""value""
    number: 2
    label: LABEL_OPTIONAL
    type: TYPE_BOOL
  }
  options {
    map_entry: true
  }
}
 fullName=pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.PrimitivesStringToBool file=com.google.protobuf.Descriptors$FileDescriptor@4d3d33b6 containingType=null nestedTypes=[com.google.protobuf.Descriptors$Descriptor@6cf0fb4c] enumTypes=[] fields=[pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.PrimitivesStringToBool.field] fieldsSortedByNumber=[pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.PrimitivesStringToBool.field] extensions=[] oneofs=[] realOneofCount=0 extensionRangeLowerBounds=[] extensionRangeUpperBounds=[]>, avroValue: [a:true, b:true, c:false], expectedProtoValue: [key: ""a"" value: true , key: ""b"" value: true , key: ""c"" value: false ], transformResult: <pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertArrayOfPrimitivesTest$__spock_feature_0_1prov5_closure28@70d49a95 delegate=pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertArrayOfPrimitivesTest@4fe99105 owner=pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertArrayOfPrimitivesTest@4fe99105 thisObject=pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertArrayOfPrimitivesTest@4fe99105 resolveStrategy=0 directive=0 parameterTypes=[class java.lang.Object] maximumNumberOfParameters=1 bcw=null>, #11]","","Mon Feb 16 15:23:00 UTC 2026","passed","Mon Feb 16 15:23:00 UTC 2026","","ConvertArrayOfPrimitivesTest","pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertArrayOfPrimitivesTest","should convert map of primitive types [suite: map-primitives, avroType: boolean, protoDescriptor: <com.google.protobuf.Descriptors$Descriptor@45bd83de index=0 proto=name: ""PrimitivesStringToBool""
field {
  name: ""field""
  number: 1
  label: LABEL_REPEATED
  type: TYPE_MESSAGE
  type_name: "".pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.PrimitivesStringToBool.FieldEntry""
}
nested_type {
  name: ""FieldEntry""
  field {
    name: ""key""
    number: 1
    label: LABEL_OPTIONAL
    type: TYPE_STRING
  }
  field {
    name: ""value""
    number: 2
    label: LABEL_OPTIONAL
    type: TYPE_BOOL
  }
  options {
    map_entry: true
  }
}
 fullName=pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.PrimitivesStringToBool file=com.google.protobuf.Descriptors$FileDescriptor@4d3d33b6 containingType=null nestedTypes=[com.google.protobuf.Descriptors$Descriptor@6cf0fb4c] enumTypes=[] fields=[pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.PrimitivesStringToBool.field] fieldsSortedByNumber=[pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.PrimitivesStringToBool.field] extensions=[] oneofs=[] realOneofCount=0 extensionRangeLowerBounds=[] extensionRangeUpperBounds=[]>, avroValue: [a:true, b:true, c:false], expectedProtoValue: [key: ""a"" value: true , key: ""b"" value: true , key: ""c"" value: false ], transformResult: <pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertArrayOfPrimitivesTest$__spock_feature_0_1prov5_closure28@70d49a95 delegate=pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertArrayOfPrimitivesTest@4fe99105 owner=pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertArrayOfPrimitivesTest@4fe99105 thisObject=pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertArrayOfPrimitivesTest@4fe99105 resolveStrategy=0 directive=0 parameterTypes=[class java.lang.Object] maximumNumberOfParameters=1 bcw=null>, #11]"
"","75","should render form (edit variant)","GroupForm","Mon Feb 16 15:21:28 UTC 2026","passed","Mon Feb 16 15:21:28 UTC 2026","","","",""
"","20","should empty latest schema version for topic without schema versions available","","Mon Feb 16 15:28:05 UTC 2026","passed","Mon Feb 16 15:28:05 UTC 2026","","CachedSchemaVersionsRepositoryTest","pl.allegro.tech.hermes.schema.CachedSchemaVersionsRepositoryTest","should empty latest schema version for topic without schema versions available"
"","3910","shouldProfileRetriedMessageProcessing()","","Mon Feb 16 15:23:54 UTC 2026","passed","Mon Feb 16 15:23:58 UTC 2026","","pl.allegro.tech.hermes.integrationtests.ConsumerProfilingTest","pl.allegro.tech.hermes.integrationtests.ConsumerProfilingTest","shouldProfileRetriedMessageProcessing"
"","17","shouldNotRetryOnRetryAfterAboveTtl","","Mon Feb 16 15:23:18 UTC 2026","passed","Mon Feb 16 15:23:18 UTC 2026","","pl.allegro.tech.hermes.consumers.consumer.ConsumerMessageSenderTest","pl.allegro.tech.hermes.consumers.consumer.ConsumerMessageSenderTest","shouldNotRetryOnRetryAfterAboveTtl"
"","258","shouldAllowNonAdminUserToModifyTopicWithFallbackToRemoteDatacenterEnabled()","","Mon Feb 16 15:30:41 UTC 2026","passed","Mon Feb 16 15:30:41 UTC 2026","","pl.allegro.tech.hermes.integrationtests.management.TopicManagementTest","pl.allegro.tech.hermes.integrationtests.management.TopicManagementTest","shouldAllowNonAdminUserToModifyTopicWithFallbackToRemoteDatacenterEnabled"
"","1","should produce #header header with correct value","","Mon Feb 16 15:23:05 UTC 2026","passed","Mon Feb 16 15:23:05 UTC 2026","","HermesHeadersProviderTest","pl.allegro.tech.hermes.consumers.consumer.sender.http.headers.HermesHeadersProviderTest","should produce #header header with correct value"
"","9","should check if schema exists by id","","Mon Feb 16 15:28:05 UTC 2026","passed","Mon Feb 16 15:28:05 UTC 2026","","SchemaExistenceEnsurerTest","pl.allegro.tech.hermes.schema.SchemaExistenceEnsurerTest","should check if schema exists by id"
"","1006","shouldNotOverrideHeadersAddedByMetadataAppendersWithSubscriptionHeaders()","","Mon Feb 16 15:26:18 UTC 2026","passed","Mon Feb 16 15:26:19 UTC 2026","","pl.allegro.tech.hermes.integrationtests.PublishingAndConsumingTest","pl.allegro.tech.hermes.integrationtests.PublishingAndConsumingTest","shouldNotOverrideHeadersAddedByMetadataAppendersWithSubscriptionHeaders"
"","46","should receive errors from validation endpoint [subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007f73d047e390@6ceeb592>, #0]","","Mon Feb 16 15:28:08 UTC 2026","passed","Mon Feb 16 15:28:08 UTC 2026","","SchemaRegistryRawSchemaClientTest","pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClientTest","should receive errors from validation endpoint [subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007f73d047e390@6ceeb592>, #0]"
