"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","basic paths [path: .flour, matcher: \{\}, result: true, #19]","","Wed Feb 18 08:59:28 UTC 2026","passed","Wed Feb 18 08:59:28 UTC 2026","","AvroPathMessageFilterSpec","pl.allegro.tech.hermes.domain.filtering.AvroPathMessageFilterSpec","basic paths [path: .flour, matcher: \{\}, result: true, #19]"
"","60","should retrieve subscription query results from Hermes API","useSearch","Wed Feb 18 08:58:05 UTC 2026","passed","Wed Feb 18 08:58:05 UTC 2026","","","",""
"","1014","should create group in all DCs if primary datacenter contains group","MultiZookeeperIntegrationTest","Wed Feb 18 09:02:14 UTC 2026","passed","Wed Feb 18 09:02:15 UTC 2026","","StorageSyncSpec","pl.allegro.tech.hermes.management.domain.consistency.StorageSyncSpec","should create group in all DCs if primary datacenter contains group"
"","1","should return subscription constraints or topic constraints if given subscription has no constraints (group.topic$sub1)","","Wed Feb 18 09:00:02 UTC 2026","passed","Wed Feb 18 09:00:02 UTC 2026","","WorkloadConstraintsTest","pl.allegro.tech.hermes.consumers.supervisor.workload.WorkloadConstraintsTest","should return subscription constraints or topic constraints if given subscription has no constraints (group.topic$sub1)"
"","714","shouldListTopicsForOwnerId()","","Wed Feb 18 09:04:56 UTC 2026","passed","Wed Feb 18 09:04:56 UTC 2026","","pl.allegro.tech.hermes.integrationtests.management.ListTopicForOwnerTest","pl.allegro.tech.hermes.integrationtests.management.ListTopicForOwnerTest","shouldListTopicsForOwnerId"
"","0","should evenly distribute rate for all busy consumers starting with max rates: 52 and 48","","Wed Feb 18 08:59:53 UTC 2026","passed","Wed Feb 18 08:59:53 UTC 2026","","MaxRateBalancerTest","pl.allegro.tech.hermes.consumers.consumer.rate.maxrate.MaxRateBalancerTest","should evenly distribute rate for all busy consumers starting with max rates: 52 and 48"
"","141","should render subscription auto remove flag","PropertiesCard","Wed Feb 18 08:57:05 UTC 2026","passed","Wed Feb 18 08:57:05 UTC 2026","","","",""
"","13","shouldDeserializeSubscriptionWithTrackEnabled","","Wed Feb 18 08:59:05 UTC 2026","passed","Wed Feb 18 08:59:05 UTC 2026","","pl.allegro.tech.hermes.api.SubscriptionTest","pl.allegro.tech.hermes.api.SubscriptionTest","shouldDeserializeSubscriptionWithTrackEnabled"
"","1155","shouldQueryTopicsMetrics(String, String, String, List) [4] testTopic7, testTopic8, {""query"": {""published"": {""lt"": ""3""}}}, [testTopic7]","","Wed Feb 18 09:05:35 UTC 2026","passed","Wed Feb 18 09:05:36 UTC 2026","","pl.allegro.tech.hermes.integrationtests.management.QueryEndpointTest","pl.allegro.tech.hermes.integrationtests.management.QueryEndpointTest","shouldQueryTopicsMetrics"
"","2","should set 'sent to kafka' state from 'sending to kafka producer queue' state","","Wed Feb 18 09:01:39 UTC 2026","passed","Wed Feb 18 09:01:39 UTC 2026","","MessageStateTest","pl.allegro.tech.hermes.frontend.publishing.message.MessageStateTest","should set 'sent to kafka' state from 'sending to kafka producer queue' state"
"","2","should convert and cast primitive types [suite: primitives, avroType: boolean, protoDescriptor: <com.google.protobuf.Descriptors$Descriptor@361c008 index=0 proto=name: ""PrimitivesInt64""
field {
  name: ""field""
  number: 1
  label: LABEL_OPTIONAL
  type: TYPE_INT64
}
 fullName=pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.PrimitivesInt64 file=com.google.protobuf.Descriptors$FileDescriptor@4b5455c6 containingType=null nestedTypes=[] enumTypes=[] fields=[pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.PrimitivesInt64.field] fieldsSortedByNumber=[pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.PrimitivesInt64.field] extensions=[] oneofs=[] realOneofCount=0 extensionRangeLowerBounds=[] extensionRangeUpperBounds=[]>, avroValue: true, expectedProtoValue: 1, #17]","","Wed Feb 18 08:59:55 UTC 2026","passed","Wed Feb 18 08:59:55 UTC 2026","","ConvertAndCastPrimitivesTest","pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertAndCastPrimitivesTest","should convert and cast primitive types [suite: primitives, avroType: boolean, protoDescriptor: <com.google.protobuf.Descriptors$Descriptor@361c008 index=0 proto=name: ""PrimitivesInt64""
field {
  name: ""field""
  number: 1
  label: LABEL_OPTIONAL
  type: TYPE_INT64
}
 fullName=pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.PrimitivesInt64 file=com.google.protobuf.Descriptors$FileDescriptor@4b5455c6 containingType=null nestedTypes=[] enumTypes=[] fields=[pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.PrimitivesInt64.field] fieldsSortedByNumber=[pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.descriptor.PrimitivesInt64.field] extensions=[] oneofs=[] realOneofCount=0 extensionRangeLowerBounds=[] extensionRangeUpperBounds=[]>, avroValue: true, expectedProtoValue: 1, #17]"
"","2","should get minimal retry time from children for too many requests [timeouts: [1, 2, 3], expectedRetryAfter: 1, #0]","","Wed Feb 18 08:59:54 UTC 2026","passed","Wed Feb 18 08:59:54 UTC 2026","","MultiMessageSendingResultTest","pl.allegro.tech.hermes.consumers.consumer.sender.MultiMessageSendingResultTest","should get minimal retry time from children for too many requests [timeouts: [1, 2, 3], expectedRetryAfter: 1, #0]"
"","5","shouldRolloverExistingBackupFile","","Wed Feb 18 09:01:50 UTC 2026","passed","Wed Feb 18 09:01:50 UTC 2026","","pl.allegro.tech.hermes.frontend.buffer.BackupFilesManagerTest","pl.allegro.tech.hermes.frontend.buffer.BackupFilesManagerTest","shouldRolloverExistingBackupFile"
"","151","should render inconsistent topics listing with a filter applied (case-insensitive, filter: Dummy)","ConstraintsListing","Wed Feb 18 08:57:59 UTC 2026","passed","Wed Feb 18 08:57:59 UTC 2026","","","",""
"","5","should persist Avro messages for topics","","Wed Feb 18 09:01:49 UTC 2026","passed","Wed Feb 18 09:01:49 UTC 2026","","MessagePreviewLogTest","pl.allegro.tech.hermes.frontend.publishing.preview.MessagePreviewLogTest","should persist Avro messages for topics"
"","538","should perform remove operation successfully even if some nodes do not have given topic constraints","MultiZookeeperIntegrationTest","Wed Feb 18 09:03:32 UTC 2026","passed","Wed Feb 18 09:03:32 UTC 2026","","WorkloadConstraintsServiceTest","pl.allegro.tech.hermes.management.domain.workload.constraints.WorkloadConstraintsServiceTest","should perform remove operation successfully even if some nodes do not have given topic constraints"
"","0","should format number with fraction part (3.1415926535)","number-formatter","Wed Feb 18 08:58:32 UTC 2026","passed","Wed Feb 18 08:58:32 UTC 2026","","","",""
"","716","should show create subscription dialog on button click","SubscriptionsList","Wed Feb 18 08:57:42 UTC 2026","passed","Wed Feb 18 08:57:42 UTC 2026","","","",""
"","1","should resolve endpoint address [endpointAddressUri: googlepubsub://pubsub.googleapis.com:443/projects/test-project/topics/test-topic?compression=bzip2, expectedCodec: BZIP2, #4]","","Wed Feb 18 08:59:56 UTC 2026","passed","Wed Feb 18 08:59:56 UTC 2026","","GooglePubSubSenderTargetResolverTest","pl.allegro.tech.hermes.consumers.consumer.sender.googlepubsub.GooglePubSubSenderTargetResolverTest","should resolve endpoint address [endpointAddressUri: googlepubsub://pubsub.googleapis.com:443/projects/test-project/topics/test-topic?compression=bzip2, expectedCodec: BZIP2, #4]"
"","1","should filter '$.topping[4:7].type' matching '^Choco.*' with result: false","","Wed Feb 18 08:59:29 UTC 2026","passed","Wed Feb 18 08:59:29 UTC 2026","","JsonPathMessageFilterSpec","pl.allegro.tech.hermes.domain.filtering.JsonPathMessageFilterSpec","should filter '$.topping[4:7].type' matching '^Choco.*' with result: false"
"","6","there shouldn't be any violations for valid inputs [consumersNumber: 10, reason: , #1]","","Wed Feb 18 08:59:03 UTC 2026","passed","Wed Feb 18 08:59:03 UTC 2026","","SubscriptionConstraintsValidationTest","pl.allegro.tech.hermes.api.SubscriptionConstraintsValidationTest","there shouldn't be any violations for valid inputs [consumersNumber: 10, reason: , #1]"
"","19","should audit group update","","Wed Feb 18 09:02:30 UTC 2026","passed","Wed Feb 18 09:02:30 UTC 2026","","GroupServiceSpec","pl.allegro.tech.hermes.management.domain.group.GroupServiceSpec","should audit group update"
"","4285","shouldListClientsForTopicWithoutRepeating()","","Wed Feb 18 09:04:42 UTC 2026","passed","Wed Feb 18 09:04:46 UTC 2026","","pl.allegro.tech.hermes.integrationtests.management.ListClientsForTopicTest","pl.allegro.tech.hermes.integrationtests.management.ListClientsForTopicTest","shouldListClientsForTopicWithoutRepeating"
"","30","should set error when fetching group inconsistencies fails","useConsistencyStore","Wed Feb 18 08:57:42 UTC 2026","passed","Wed Feb 18 08:57:42 UTC 2026","","","",""
"","245","should skip removal of consumer group - task timeout not met, without task removal","MultiZookeeperIntegrationTest","Wed Feb 18 09:02:49 UTC 2026","passed","Wed Feb 18 09:02:49 UTC 2026","","ConsumerGroupCleanUpTaskTest","pl.allegro.tech.hermes.management.domain.subscription.consumergroup.ConsumerGroupCleanUpTaskTest","should skip removal of consumer group - task timeout not met, without task removal"
"","1285","shouldFilterIncomingEventsForBatch()","","Wed Feb 18 09:00:07 UTC 2026","passed","Wed Feb 18 09:00:09 UTC 2026","","pl.allegro.tech.hermes.integrationtests.BatchDeliveryTest","pl.allegro.tech.hermes.integrationtests.BatchDeliveryTest","shouldFilterIncomingEventsForBatch"
"","5","should fetch schema at specified version [client: <pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClient@4d0f58a9 schemaRepositoryInstanceResolver=pl.allegro.tech.hermes.schema.resolver.DefaultSchemaRepositoryInstanceResolver@5f5ab1ad objectMapper=com.fasterxml.jackson.databind.ObjectMapper@6d0e2a12 validationEndpointEnabled=false deleteSchemaPathSuffix=versions subjectNamingStrategy=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007fdfa447e818@6a2e7d2d>, subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007fdfa447e818@6a2e7d2d arg$1=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007fdfa447e390@6ceeb592 arg$2=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$Namespace@430bcbd4>, #2]","","Wed Feb 18 09:04:50 UTC 2026","passed","Wed Feb 18 09:04:50 UTC 2026","","SchemaRegistryRawSchemaClientTest","pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClientTest","should fetch schema at specified version [client: <pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClient@4d0f58a9 schemaRepositoryInstanceResolver=pl.allegro.tech.hermes.schema.resolver.DefaultSchemaRepositoryInstanceResolver@5f5ab1ad objectMapper=com.fasterxml.jackson.databind.ObjectMapper@6d0e2a12 validationEndpointEnabled=false deleteSchemaPathSuffix=versions subjectNamingStrategy=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007fdfa447e818@6a2e7d2d>, subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007fdfa447e818@6a2e7d2d arg$1=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x00007fdfa447e390@6ceeb592 arg$2=pl.allegro.tech.hermes.schema.SubjectNamingStrategy$Namespace@430bcbd4>, #2]"
"","17","should send custom header when publishing using OkHttpSender sender","","Wed Feb 18 08:59:17 UTC 2026","passed","Wed Feb 18 08:59:17 UTC 2026","","HermesSenderTest","pl.allegro.tech.hermes.client.HermesSenderTest","should send custom header when publishing using OkHttpSender sender"
"","68","should render listing with a filter applied (case-insensitive, filter: fo)","FavoriteSubscriptionsListing","Wed Feb 18 08:57:49 UTC 2026","passed","Wed Feb 18 08:57:49 UTC 2026","","","",""
