"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 20 14:41:00 GMT 2025","Wed Aug 20 14:41:00 GMT 2025","240","","pl.allegro.tech.hermes.integrationtests.PublishingTest","","pl.allegro.tech.hermes.integrationtests.PublishingTest","shouldReturn4xxForTooLargeContent","shouldReturn4xxForTooLargeContent()",""
"passed","Wed Aug 20 14:43:24 GMT 2025","Wed Aug 20 14:43:24 GMT 2025","18","","pl.allegro.tech.hermes.integrationtests.management.ReadinessManagementTest","","pl.allegro.tech.hermes.integrationtests.management.ReadinessManagementTest","shouldNotFailWhileSettingReadinessStatusForTheFirstTime","shouldNotFailWhileSettingReadinessStatusForTheFirstTime()",""
"passed","Wed Aug 20 14:37:06 GMT 2025","Wed Aug 20 14:37:06 GMT 2025","1","","pl.allegro.tech.hermes.consumers.consumer.interpolation.MessageBodyInterpolatorTest","","pl.allegro.tech.hermes.consumers.consumer.interpolation.MessageBodyInterpolatorTest","willReturnURIOnEmptyEndpoint","willReturnURIOnEmptyEndpoint",""
"passed","Wed Aug 20 14:39:11 GMT 2025","Wed Aug 20 14:40:11 GMT 2025","60360","","pl.allegro.tech.hermes.integrationtests.KafkaReadinessCheckTest","","pl.allegro.tech.hermes.integrationtests.KafkaReadinessCheckTest","shouldNotBeReadyUntilThereAreNoOfflinePartitions","shouldNotBeReadyUntilThereAreNoOfflinePartitions()",""
"passed","Wed Aug 20 14:34:18 GMT 2025","Wed Aug 20 14:34:18 GMT 2025","19","useReadiness","","","","","should show message that switching readiness subscription was successful",""
"passed","Wed Aug 20 14:33:42 GMT 2025","Wed Aug 20 14:33:43 GMT 2025","288","TopicView","","","","","should not render messages preview when unauthorized",""
"passed","Wed Aug 20 14:33:50 GMT 2025","Wed Aug 20 14:33:50 GMT 2025","13","useConstraints","","","","","should dispatch notification on successful subscription constraint delete",""
"passed","Wed Aug 20 14:36:14 GMT 2025","Wed Aug 20 14:36:14 GMT 2025","14","","ReactiveHermesSenderTest","","pl.allegro.tech.hermes.client.ReactiveHermesSenderTest","should read header HERMES-MESSAGE-ID being case insensitive when publishing using WebClientSender sender","should read header HERMES-MESSAGE-ID being case insensitive when publishing using WebClientSender sender",""
"passed","Wed Aug 20 14:33:52 GMT 2025","Wed Aug 20 14:33:52 GMT 2025","148","ConsistencyView","","","","","should show confirmation dialog on remove button click",""
"passed","Wed Aug 20 14:37:05 GMT 2025","Wed Aug 20 14:37:05 GMT 2025","215","","pl.allegro.tech.hermes.consumers.consumer.ConsumerMessageSenderTest","","pl.allegro.tech.hermes.consumers.consumer.ConsumerMessageSenderTest","shouldRetryOn401UnauthorizedForOAuthSecuredSubscription","shouldRetryOn401UnauthorizedForOAuthSecuredSubscription",""
"passed","Wed Aug 20 14:42:21 GMT 2025","Wed Aug 20 14:42:22 GMT 2025","488","","pl.allegro.tech.hermes.integrationtests.management.OfflineRetransmissionManagementTest","","pl.allegro.tech.hermes.integrationtests.management.OfflineRetransmissionManagementTest","shouldCreateTopicRetransmissionTask","shouldCreateTopicRetransmissionTask()",""
"passed","Wed Aug 20 14:34:33 GMT 2025","Wed Aug 20 14:34:33 GMT 2025","1","Json utils","","","","","deepSearch() - should find object in array",""
"passed","Wed Aug 20 14:43:33 GMT 2025","Wed Aug 20 14:43:35 GMT 2025","1943","","pl.allegro.tech.hermes.integrationtests.management.SubscriptionManagementTest","","pl.allegro.tech.hermes.integrationtests.management.SubscriptionManagementTest","shouldReturnSubscriptionsThatAreCurrentlyTrackedForGivenTopic","shouldReturnSubscriptionsThatAreCurrentlyTrackedForGivenTopic()",""
"passed","Wed Aug 20 14:44:09 GMT 2025","Wed Aug 20 14:44:09 GMT 2025","236","","pl.allegro.tech.hermes.integrationtests.management.TopicManagementTest","","pl.allegro.tech.hermes.integrationtests.management.TopicManagementTest","shouldNotUpdateTopicWithDisallowedLabels","shouldNotUpdateTopicWithDisallowedLabels()",""
"passed","Wed Aug 20 14:33:52 GMT 2025","Wed Aug 20 14:33:52 GMT 2025","79","MetricsCard","","","","","should render subscription delivery rate",""
"passed","Wed Aug 20 14:44:06 GMT 2025","Wed Aug 20 14:44:06 GMT 2025","247","","pl.allegro.tech.hermes.integrationtests.management.TopicManagementTest","","pl.allegro.tech.hermes.integrationtests.management.TopicManagementTest","shouldAllowNonAdminUserToEnableFallbackToRemoteDatacenter","shouldAllowNonAdminUserToEnableFallbackToRemoteDatacenter()",""
"passed","Wed Aug 20 14:34:18 GMT 2025","Wed Aug 20 14:34:18 GMT 2025","51","ConstraintsListing","","","","","should render inconsistent topics listing with a filter applied (case-insensitive, filter: DUMMY)",""
"passed","Wed Aug 20 14:36:45 GMT 2025","Wed Aug 20 14:36:45 GMT 2025","1","","JsonMessageBatchTest","","pl.allegro.tech.hermes.consumers.consumer.batch.JsonMessageBatchTest","should append data into buffer [data: [x, x], capacity: 5, #1]","should append data into buffer [data: [x, x], capacity: 5, #1]",""
